tor,grupa,typ_grupy,liczba_probek,shape,scale,ks_statistic,p_value,critical_value,is_weibull
1,18-29,wiek,2233,1.5375009572263936,46127.95621074571,0.03040404669883401,0.0315568135440788,0.02866432887782128,False
1,30-44,wiek,2555,1.5878320105651467,52242.277855874185,0.030876920608773673,0.014997903523923094,0.02680195337992109,False
1,45-59,wiek,947,1.5876086515591514,52214.24334576481,0.032687859691905935,0.2580659358696784,0.04395237642655255,True
1,60+,wiek,765,1.4685865275890557,47470.474509536245,0.04592996801413102,0.07686150876032449,0.048878895099772224,True
1,< 18,wiek,5101,1.5005323373374966,52960.751258040415,0.031249429018207597,9.216342704253261e-05,0.01898236667535489,False
7,wszystkie,ogólne,5048,1.9282013838296468,60254.06493779404,0.03601855117572364,3.988956629573979e-06,0.019081581030268645,False
7,Znajomy - Znajomy,relacja,1038,1.7847682834295082,56918.620030347956,0.0555790128398804,0.0031517697554400786,0.04198944146944992,False
7,Członek rodziny - członek rodziny,relacja,2553,2.088160469731431,63951.05632537908,0.028398996550359573,0.03193101345991789,0.026812423280385515,False
7,To skomplikowane,relacja,699,1.8042575362679534,58480.6450072839,0.05271014264291346,0.03966302329068039,0.05112338134011081,False
7,Nieznajomy - Nieznajomy,relacja,201,1.5797948132270303,55364.83123081294,0.056530272741981746,0.5232808463316663,0.09492326429763247,True
7,Inna znacząca - Inna znacząca,relacja,557,1.950227792890657,53377.15843329446,0.061813072867063945,0.02714786287936599,0.05723653625207337,False
7,18-29,wiek,1600,1.9438951892007892,54282.78924192999,0.04252106717105503,0.005961288591822322,0.033846548142015306,False
7,30-44,wiek,1621,2.133444088723241,62347.196101389716,0.03351342317922246,0.05125825151728991,0.0336272889531067,True
7,45-59,wiek,638,1.879532714766602,61306.80578110599,0.04923005297708133,0.08778408198525167,0.053499298443113186,True
7,60+,wiek,501,1.5984252946501054,59053.69029453167,0.04915551971828741,0.17177144686437873,0.0603324626284187,True
7,< 18,wiek,3119,1.975541957455015,63883.2055611172,0.03118351775740766,0.004541802891624578,0.02426370820700302,False
5,wszystkie,ogólne,7750,1.8248728054936454,48587.602357630196,0.04999826138558516,2.817892363257107e-17,0.015405319757351339,False
5,Znajomy - Znajomy,relacja,1619,1.8441985936588707,46643.35062808296,0.04402282684191017,0.003648881810864701,0.033647987218123586,False
5,Członek rodziny - członek rodziny,relacja,3861,1.8571372059159632,51591.46065539488,0.054671421960009514,1.79986085374795e-10,0.02181293254910196,False
5,To skomplikowane,relacja,1125,1.8107876824002012,45885.05339871444,0.06087536199571808,0.00045702084303869694,0.040339526399001555,False
5,Nieznajomy - Nieznajomy,relacja,333,1.8140909546042152,48197.54975777344,0.07857779129687192,0.030979615731725807,0.07390389782201631,False
5,Inna znacząca - Inna znacząca,relacja,812,1.7726639128040156,42163.326741204175,0.06302932705121653,0.0030139132437349203,0.047449731458168845,False
5,18-29,wiek,2233,1.7577995557188475,43256.47387991137,0.06430727152301902,1.7984503493954852e-08,0.02866432887782128,False
5,30-44,wiek,2364,1.90922245537253,51082.57246566944,0.05189057406327657,5.679387233208038e-06,0.027860897897286793,False
5,45-59,wiek,839,1.8923790183651854,51890.84481324942,0.06474938202206604,0.001678663391937785,0.046683428733718856,False
5,60+,wiek,860,1.6885624816649418,46302.146367732006,0.06289811709958648,0.002117154187108027,0.046112459673934174,False
5,< 18,wiek,5013,1.8555548293732032,50642.30221076969,0.049114433428820714,6.000930395913918e-11,0.019147959767758932,False
