tor,grupa,typ_grupy,liczba_probek,mu,sigma,ks_statistic,p_value,critical_value,is_lognormal
1,wszystkie,ogólne,7936,10.481825365385433,0.7325568337118619,0.04254007146426486,6.454217025194329e-13,0.015223972774753024,False
1,Członek rodziny - członek rodziny,relationship,3827,10.597332205035878,0.6778179013690726,0.037885949174899736,3.293017532985719e-05,0.021909417474820173,False
1,Inna znacząca - Inna znacząca,relationship,803,10.34800452408096,0.756875939089183,0.07881552335589537,8.72415800020431e-05,0.04771368810435614,False
1,Nieznajomy - Nieznajomy,relationship,346,10.463697730577463,0.695963540289973,0.04398652616392529,0.5009137060121638,0.07251225159088641,True
1,To skomplikowane,relationship,1287,10.293303789066663,0.7885875675677279,0.05620507216778209,0.0005642796454177292,0.0377246920831863,False
1,Znajomy - Znajomy,relationship,1673,10.430607726766809,0.7562760472979411,0.05392114367857492,0.00011434471775898852,0.03310220376171789,False
1,18-29,age,2233,10.389158173104521,0.7336302019680122,0.05521927468347848,2.3311008263019823e-06,0.028664328877821277,False
1,30-44,age,2555,10.522973528427457,0.7182185657150135,0.05281978440294727,1.232770725852922e-06,0.026801953379921088,False
1,45-59,age,947,10.525107836239531,0.7084011888569849,0.050166228804572,0.016433968824151914,0.04395237642655255,False
1,60+,age,765,10.408685743227744,0.7371669461689518,0.03917729728954977,0.18595800904613646,0.04887889509977224,True
1,< 18,age,5101,10.519493675868391,0.7469599491750865,0.04419024171226005,4.292691702008576e-09,0.018982366675354884,False
2,wszystkie,ogólne,8079,10.515609531894771,0.6231545503968285,0.022050800684188188,0.0007625679303089815,0.015088825408085914,False
2,Członek rodziny - członek rodziny,relationship,3910,10.609560819748088,0.6062700094432446,0.019333517792327115,0.10614313116587282,0.021676097814753215,True
2,Inna znacząca - Inna znacząca,relationship,768,10.389910407668967,0.5568182907553578,0.019986833466555165,0.9126848739247317,0.04878378159006499,True
2,Nieznajomy - Nieznajomy,relationship,343,10.48516887444486,0.6432075134436344,0.06478818038614675,0.10746924480467324,0.07282640125160651,True
2,To skomplikowane,relationship,1332,10.394847000098707,0.6314804290127856,0.03810572258813261,0.04071623705823735,0.037084228066961156,False
2,Znajomy - Znajomy,relationship,1726,10.457952654581112,0.6444208998990502,0.02686180064437671,0.16264404964176737,0.03259157820402339,True
2,18-29,age,2282,10.37864377264153,0.6162401113634655,0.035466794565855,0.006266244666552243,0.028355733467120774,False
2,30-44,age,2687,10.551511653782482,0.6095360918328556,0.029714359982049188,0.017040837398601592,0.026136960046096974,False
2,45-59,age,883,10.601580668929094,0.5782972674719887,0.021020007474791436,0.8220806248649878,0.04551056421765575,True
2,60+,age,936,10.401448823200834,0.6813910624101378,0.03303831017952624,0.25302519838997595,0.0442088049124571,True
