Tor,Wiek_X_stat,Wiek_X_p,Wiek_X_istotne,Wiek_Y_stat,Wiek_Y_p,Wiek_Y_istotne,Relacje_stat,Relacje_p,Relacje_istotne
1,69.39405411996118,3.04722594836224e-14,True,37.53757234160733,1.3957246153243306e-07,True,176.55187430153296,4.101871285922182e-37,True
2,146.65793179821821,1.0587485707662941e-30,True,166.13107288233786,7.074795255790684e-35,True,172.24232538334002,3.4528517386399185e-36,True
3,142.42203381613638,8.551686412830473e-30,True,229.6000915794048,1.609467911419749e-48,True,343.9391027414203,3.5689662685302296e-73,True
4,102.40039163351913,3.0318633038326163e-21,True,126.64161088647613,2.0345814495383442e-26,True,221.43410679982637,9.211155802283188e-47,True
5,156.0870486803551,1.0092397023221925e-32,True,174.30990313547125,1.2426023618570333e-36,True,120.88109065062147,3.463057827934187e-25,True
6,419.7105806362579,1.5310519201185976e-89,True,251.1765098023866,3.631677851769488e-53,True,402.53526238008754,7.879610981428244e-86,True
7,102.43602043651893,2.979347132124901e-21,True,96.01048755114651,6.94752438497581e-20,True,83.42996297296565,3.26583282770504e-17,True
