Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.43883916463249256,0.5553295362082994,41076.32200247219,27898.36178398529,490.4270830654844,7374,3236,4095,[33800 27544 51451 ... 10577 24390 26776]
30-44,0.43383785403866326,0.5603176981867226,46403.50949913644,30488.329560521634,566.6427626953493,6673,2895,3739,[32198 37487 79296 ... 78611 25642 63313]
45-59,0.4283062645011601,0.5651972157772622,46847.80931744312,31408.873066688484,1033.8356498698781,2155,923,1218,"[ 66499  53853  45445  26142  13896  63730  15798  25141  32999  70219
  77710  38404  51301  48081  48231  17233  48064  33166  22755  12729
  10093 125091  81297  51734  96229  89205  30713  29345  34267  33216
  40874  23689  21304  88905  68601  43192  18652  14781  43543  39806
  18234  43593  30714  13746  48564  33132  23156  55771 105538 101784
  48648  37437  50300  40223  28394  47497  52985  32315  27293  63479
  88888  64097  31331  23506  15565  24507  10977  16549  19168  18985
  70787  79695  22989  54771  30797  38755  32298  21788  13329   9776
  10343   8291  10843  10109  87603  51517  61561  17684  61127  14931
  26309 102219  35134  15181  62295  52752  41875  25091  67901  53703
 122789  33483  50416  16132  75475  51201  91241  39505  35168  87904
  85702  29295  46529  30963  22906   9409   7824  29879  29796  69202
  94694  49699  93843  37520  78094  62512  73706  66699  51234  25875
  47530  24757  61027  33850 208174  58041  61044  44277  21905  30447
  15798  76625  32265  28044  21821 118685  64013 151885  22522  57957
  28428  47096  69686  42809  17467  82732  63963  57474  23239  73756
  17600  17367  38588  83483  64497  25658  36703  19336  51918  28261
  15848  80363  47046  77126  28261  41307  53820  50917  24274  10577
  42592  11477   9075  48481  41074  20653  15532  14797  10961  34350
  17517  14164  14931  11361   8458   7974  13613  38788  32298  81598
  57607  65431  33233  27911  56556  24757  49933  73590  30430  82665
  77443  86402  51551  89038  61478  32282  84951  59042  47997  37037
  74874  66282  30830  24924 104905  29812  31480  40356  34183  20837
  59208  19285  49282  36886 110994  52952  70770  27226  91941  74423
  50700  31965  40406  34050  31548  60226  65281  58741  24007  89372
  16249  11978  28428  57440  88838 124907  88138  40607  68284  68218
  90123  79729  76893  30930  36519  20703  75775  83616  39188  59258
  26810  48631  24674  33266 178378 190373  34918  19802  13263  10860
  83783  15381  11511  56422  13763  26710  48182  15832  48848  19886
  17033  29162  88371  81914  20086  29212  70403  48898  94694  84734
  97630  33666  22839  43009  51951  31998  63263  76793  63646  34951
  21237  11861  25692  39356  18518  80029  66649  34851  21204  21104
  33766  32165  37887  62162  70570  48531  80596  41107  23606  32399
  72021  75825  21621  64831  17100  59893  26092  36536  55338  32732
  52702  47597  28161  43727  54938  24273  74190  88755  18051  22221
  33133  21037  15398  62362  56155  53252  53687  79462  32832  26393
  86152  79129  46312  40907  20720  35485  59976  42809  15348  35418
  19669  25375  15832  57273  40423  88371  21871  11261  51768   8007
   5605   4621  76359  46879  61694 103252  45578  25992  93310  31381
  53520  46913  42158  63180  41224  26793  42942  12579 107273  52569
  58891  28377  68351  18134 120253  45078  22805  16082  41124  50416
  36119  22922  39105  63146  24257  48498  76376  20737  84317  27194
  21354 116583  26576  46930  50700  30380  29462  60810  31197  24657
  20319  17150  29462 100316  18518  11845   9559   6806   6489   7774
   5705   5505   4554   5255   3970   3903   3904   2919   3269   3953
   2686  80129  58891  19903  88888 154804  54587  41190  36319  54354
  50667  42592  71988  60126  23373  23256  18234  12395  49349  36486
  32882  14364  43343  17434  22806  11912  18869  28644  32749  35618
  50767  40273 106856  31981  32232  43026  14764  36068  66916  27544
  51451  36787  30313  19402  15315  11945  15348 134417 104704 102235
  59008 134283 191574  45545  29996  23707  24341  90073  17334  89772
  21804  14063  25642  37854  31764 123339 114363  68535  81297  20904
  42392  30713  38738  29345  34267  56639  40557  88087  23689 206189
  73122  21671  21921  29178  40256  50299  33349  47547  22872  19235
   8724  52435  34701  87787  22822  35869  21405  25842  38187  34984
 258641  51050  49316  36002  49516  64097  49082  31331  23506  15565
  55205  18685  10960  53036  47030  48298 109693  20670  16216 138137
  75525  86235  35268  19169  89238  83850  14514 102219  35134  15181
  62295 139155  55722  64948  50416  29078  19435  12629 108257  49399
  35618  35919  36035  63146  51201  80597  87370  45795  42825  40440
  19485  84016  11894  18651  52986  29295  37103  17350  13263  11461
  10009  43276  21971  69202  47714 107740  21855  87837  59826  64630
  52001  93843  26009  74924  81331 103519  92525 120370  63096  57857
  42725  51017  68017  29679  33166  25875  66332  27894  16199  57190
  43176 106406  32398  64314  44677  32465  48281 118685  44344  31965
  20553  77794  17166  22522  30563  29579  69536  51868  17600  17367
  40456  25958  23673  66449  26910  20754  44911  46462  29162 102502
  55772  75691  89639  28511  49933  35535  35752  26759 178378  48514
  63146  84984  88471  55254  32932  62696  36119  19152  15064  37620
  42942  26409  50817  89372  15131  41758  54170 124907  41791  50901
  66466  54320 114347  41374  24924  74490  32432  23539  20954  23072
  87337  92775  76643  62045  42675  64598  17250  11511  49365  19535
  35935  15465  17967  31748  13763  38855  18468  83935 142377  76510
  28846  58626  42576  28328  42609  48848  19636 112278  87554  64414
  88371  64630  37854  81914  20086  29212  43226  27410  97630 110576
  80880  82982  60209  36102  18084  43309  28178  55755  87270  61210
  21304  62328  60126  52285  45078  32782 132231  86152 167700  89739
  48531  77944  51518  70111  26726  97931  35351  56622  28828  12679
  55088  29012  55338  68384  58258  40073  28695  15448  35001  64614
  26876  12445   8475  95478  46712 148698  31514  23656  20203  17100
  33449  18051  71170  30764  76609  35835  52969  45912  35418  19669
  25375  15832  57273  40423  31197  45411  36769  32365  39656  50417
  46879  29445  27844  64230  42158  63180  41224  26793  42942  12579
 107273  52569  85868  22638  15165  53019  81831  41124  36119  22922
  21271  12495  58608  16316  35601  41091  65432  27043  41441  48498
  27194  71938  29862  42892  17967  14130  24540  33483  26576  20003
  11578  47130  70687  64647  45044  40240  34934  28044  73807  94327
  47797  68017  22906  23339  12528   9459   9843   8441  11227   8174
  64013  44761  37837  74073  51484  45662  32548  12762  13747  11878
  34818  37420  30613  45061  64797  23289 109175  18635  43576  59226
  50667  82482  62145  51417 113714  37537  20887  60126  47597  23373
  59359  14113  34917 179362  28745  20053  45011  18869  42658  60359
  40006  36068  22455]"
60+,0.3479349186483104,0.6408010012515645,48702.575539568345,35237.18964676176,2113.3861933316743,799,278,512,"[ 16249  44794  20720  28711  16199  58741  68535  26926 155772  74056
 112545  19853  28061  25391  14013  47664  20837  11094  42258  51384
  52986 107907  68618  50700  35952  20420   7924   5305   4103  17734
  66032  31497  75842  61160  38688  71020  29662  22705 127460  47046
  16766  20537  59075  27894 121971  68801  22171  25525  59892  12712
  34684  23022  18017  53686 134834  25191  48031  49983  34350  75208
  50266  19919  12645  11261   8959  38721  36219  60526 113346  24007
  41641  76158  89288  37053  16116  18468  60294  47915  83618  53753
  29128  32432  45178  21037  47063  40106  25492  46796  74423  14681
  10710  89122  48598  17100  71170  33783  30764  76609  17166  79362
 150316  69519  37870 105888 244543  28995  24824  72372  32699  47197
  26659  74073  33133  41458  19469   2836   3136  15398   8057   5639
   4337  81447 113714  37537  20887  35185  17116  45011  49699  44994
  60126  28711  16199  62211  36886 136435  68384  48898  52869  41658
  25392  82482  30947  62712  35735  32265  81264  25375  46312  38138
  24557 112545  31464  15765  21871   5038  84250  19853  47664 146513
  20837  11094  28544 137053  75841  26375  70469  17584  10927  44160
 156972  42325  33917  47630  22755  75825 127460  57524  46896  75275
   6206 121971  38588  58158  37654  21287  59892  53686 134834  57607
  65431  33233  27911  50266  19919  12645  11261   8959  63513  38721
  36219   8141  50317  89022  37720  24958  68401  40557  12912  91090
  36619  60943  83616  78911  51000  22873  36653  16116  48631  24674
  43610  56422  62979 128861  42492  41874  45178  12845  25492  69502
  46796  16399  89122  42426  17100  70553  96012  72839  47965  28378
  75858  71387  75975  86152  68334 150316  69519  37870  28995  42675
  64731  58174  56923  39088  61711  96312  26659 123840  41458  19469
   2836   3136  58792  36970  51651  15398   8057   5639   4337  20236
  81447 154420  31898  35185  35551  86770  43026  14764]"
< 18,0.4129527055815935,0.5786109927567107,50930.64960792406,34904.24168161564,501.40250828389264,11735,4846,6790,[ 28578 104704  15832 ...  35936  59442  40740]
