Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.2981146400101227,0.6835378970011388,47349.58616298812,25560.221620265227,526.5952920039521,7903,2356,5402,[34751 53002 56889 ... 51201 27894 32949]
60+,0.2658064516129032,0.712258064516129,52240.78640776699,34282.85708791281,2388.599835739024,775,206,552,"[ 51417  47664  46245  62395  75775  44678  43610  46980  33683  54287
  59208  22872 112278  25491 147880  66249  31915  33383  28611  22989
  76292  49866 152335 110526  39722  37353  57890  53886  55388  44044
  40006  32849  21455 112479  55688  62862  45428  36853  15398  11912
  10910  11310  10777  11194   9475   9509   9409   9609  92008  53753
  52518  40740  32148  68251  64364  56556  65365  42308  39155  44578
  87787  39556  68501  57524  46813  65048  45045 196078  89656  34818
  18835  90373  58675  44644  34284 102052  77961 135969  79312  62912
 128194  40790  87370  44344  45411  48031  43126  11027   6356   5288
   5522   5038   4904  83833  51418  34951  43560  42892  24857  19352
  47864  21221  33900  25575  56890  47664  46245  62379  50800  69786
  78578 157240  44678  51067  73456  48048  35952  40840  66182 147880
  38171  64447  58508  62546  61978  82649  36469 135301  84634  37353
  55388  67117  44110 112479  55688  62862  45428  36853  15398  11912
  10910  11310  10777  11194   9475   9509   9409   9609  92008  39773
  20854  53753  31147  26760  21221  90540  51584 139272  93426  66483
  34434  79045  35151  70386  51951  56556  65365  47114  31865  42308
  39155  62745  45045  91757  68968  28611  20837  55588  73857 135635
  57824  25975  76392  77961 135969  33767  52051  56973  44344 114231
  85518  37954  45411  11027   6356   5288   5522   5038   4904  83833
  34951  79662 127527  49099  19352  47864]"
45-59,0.3011990407673861,0.6709832134292566,53975.953821656054,29894.05036717375,1192.9024760827938,2085,628,1399,"[ 84984  48431  50800 109559  52402  31130  89923  35402  94327  73990
  59826  35752 121854 107190  48998  45545  79062  64130  35769 117066
  64180  51201  35135  98581  67884  32465  24390  43292  41992  41591
  42325  38972  67634  45662  37971  52519  33533  56339  80563  29395
 114164  73623  86719  35518  48048  35952  40840  76443  47697  42709
  36820  34951  43526  98415  47464  18151  54904  26693  22255  48531
  91875  44861  41558 111444  48498  52519  63713  72238  26709  75959
  58058 101217  90740  48615  42675  53620  37654  78344  63579  28912
  17968  14764 103202 101734  65815  71571  38871  33917  97597  76893
  69336  38922  49365  54354  79078  57040  57807  69753  25875  41307
  37871  31631  24574  34484  84000  52351  89922  37904  64130  46513
  71454  79496  36853  39639  12145   7841   7023   6322   5855   5739
   5889  10710   6873   7273   6022   5688   6556   5322   6406  15965
   5805  32916  35018  25542   8425   6706  69752  71404 165048 128862
 128761  76809 113763  80914  45478  69970  44544  22805  19352  75792
 118200  62145  65481  26726  16750  49683  43393  54153  39906  44043
  19836  40423  39773  20854  67884  58408  46046 100817  59242  41357
  80797  49382  47063  58891  38605  88554  36586  53336  63696  71004
  92692  48047  10327  67984  22773  34350  69035  43643  18267  35017
   8341   5555  87720  58525 127760  55922 102152  35201  41157  80430
  54154  71054  64364  55638  76960  31865  74824  65967  42575  38571
  71637  41725  23923  90573  37170  75458  55221  39856  40189  51367
  43109  36252  45111  44444  58408  31247  69335  63012  45244  53570
  53519  36703  75208  75525  62679 116099  30046  35068  88872 135635
  71888  55488  33383  60810  65081  17584  87253  45662  35652  46846
 105855  25358  44561  16766 127077  82549  48548  61244  65365  92058
  84784 112779  37554  39405  72722  47697 107457  29429  29646  21854
  11661  37637  32482  31381  24624  51634  52051  64630  60694 102318
 114231  18268  49599  50934  41491  45745  65665  34301 180330  43593
  28878  28962  38505  57724  25442  75041  74474  53086  22589  40390
  55054  15548  21287  86870  22605  45762  23289  24274  17834  24557
  22939  31731  43143  54587  50100  48431  64848  64748  56756  47364
  36936  60293  52419  16916  75775  60610 121854  48564  80630  25191
  48998  75425  62378  89722  77193  62278  64180  76826  36686  39172
  60643  49582  39489  63796  27227  85952  58558  93459  87087  73356
  63012  26292  82165  95661  94694  84651  35184  48565  53770  63279
  33033  97597  81231  76960  23339  45095  33383  28611  69336  38922
  62312  79078  21488  40206  50133  70920  98131  41307  27427  34484
  40456  44661  47230  52351  89922  65114  28645  32582  20570  15281
  14397  39789  50483  27410  70003  71587  74641  54120  64264  50483
  68384 133816  88571  37170  20353  92175  52268 206556  31831 149700
  71704  49916  26226  63279  75458  97847  57991  51201  83967  75792
  72606  76126  64264  35702  54153  39906  69702  49365  73857  63763
  44177  67884  58408  46046  14347  73239  85818  52485  69886  95428
  82415  90156  92342  39506  56156  52835  31748  25108   9776   8141
   9125   7140   6272   7290   6239   5872   5305   5288   5288   5004
   5088   7373   5155   4854   5488  45745  60243  86219  60577  65782
  68518 160293 105154  83266  43643  18267  35017   8341   5555  83299
  33500  32999  80496  63796  73806  40207  59075  25842  66683  43960
  44961  36453  46245  30046  33800 111496 143112  91993 148117  27361
  90573  55221 100600  67617  47513  40373  44010  78194  42876  16950
  70754  55405  38088  62161  61828  64297  44444  36703  63563  75525
  74006 115748  44644 103336  34284  77694  46796  30830  26342  77276
 102052  65081  66182  69669  44144  46980 146062  54003  41975  65515
  29829  44561  40807  70720  55255  96596  41841 127077  49716  60276
  74474  33817  82549  41507  66599  54187 108474  70970  26826  45011
  40790  72722  58508  61511  31514  22455  70987  37304  98031  48147
  60927  37237  31381  24624  54987  40473  64630  50734  38905  16716
  70403  56472  62879  55522  35034  56006  35802  69252  53086  22038
  34517  45629  46262  59242 117600 122438  51418  55488  74474  26075
  38421 131715  71788  42892  24857  37821  32882  66216  79796  52485
  15548  46996  55905  44928  46429  24557  22939  28861  31481  19035
  12312  10660   8925  10493   7790  68301  40790  23990]"
30-44,0.28625652380199273,0.692551004270125,54308.834806629835,27207.594265390686,639.5151762181457,6323,1810,4379,[18318 50100 38838 ... 15565 13379 13046]
< 18,0.2540208920577019,0.7192837008787929,57634.067558746734,29601.19130919581,534.76725828759,12062,3064,8676,[77794 43743 53386 ... 52035 72221 54587]
