Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.28695202379412904,0.6904176904176904,57017.88778729158,7733
Członek rodziny-Inna znacząca osoba,0.31666666666666665,0.6666666666666666,55522.05263157895,120
Członek rodziny-Nieznajomy,0.22289156626506024,0.7409638554216867,49262.18918918919,166
Członek rodziny-Znajomy,0.22727272727272727,0.7443181818181818,51165.9,176
Inna znacząca osoba-Członek rodziny,0.2962962962962963,0.6728395061728395,39419.0625,162
Inna znacząca osoba-Inna znacząca osoba,0.29401408450704225,0.6907276995305164,48316.109780439125,1704
Inna znacząca osoba-Nieznajomy,0.3220338983050847,0.6610169491525424,53694.26315789474,59
Inna znacząca osoba-Znajomy,0.35036496350364965,0.6423357664233577,35508.895833333336,137
Nieznajomy-Członek rodziny,0.2672413793103448,0.7068965517241379,62151.8064516129,116
Nieznajomy-Inna znacząca osoba,0.3333333333333333,0.6,46093.7,30
Nieznajomy-Nieznajomy,0.2644628099173554,0.7024793388429752,51305.90625,363
Nieznajomy-Znajomy,0.20945945945945946,0.75,44605.41935483871,148
Znajomy-Członek rodziny,0.23756906077348067,0.712707182320442,63088.04651162791,181
Znajomy-Inna znacząca osoba,0.3076923076923077,0.6703296703296703,54703.46428571428,91
Znajomy-Nieznajomy,0.27835051546391754,0.7010309278350515,50169.37037037037,97
Znajomy-Znajomy,0.2479489516864175,0.7274384685505926,48936.450980392154,3291
