Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.45721338453099286,0.5362040592430061,50124.83383323335,7292
Członek rodziny-Inna znacząca osoba,0.4573170731707317,0.5426829268292683,40196.88,164
Członek rodziny-Nieznajomy,0.3953488372093023,0.5891472868217055,48895.58823529412,129
Członek rodziny-Znajomy,0.4344569288389513,0.5617977528089888,37988.9224137931,267
Inna znacząca osoba-Członek rodziny,0.43352601156069365,0.5606936416184971,41666.54666666667,173
Inna znacząca osoba-Inna znacząca osoba,0.3936112615051435,0.6025988088792636,39972.92434662999,1847
Inna znacząca osoba-Nieznajomy,0.2857142857142857,0.7142857142857143,39614.05,70
Inna znacząca osoba-Znajomy,0.1977401129943503,0.7909604519774012,29344.67142857143,354
Nieznajomy-Członek rodziny,0.4609375,0.53125,49281.338983050846,128
Nieznajomy-Inna znacząca osoba,0.38095238095238093,0.5714285714285714,53076.5,42
Nieznajomy-Nieznajomy,0.4272151898734177,0.5569620253164557,45134.955555555556,316
Nieznajomy-Znajomy,0.368,0.616,38311.84782608696,125
Znajomy-Członek rodziny,0.503448275862069,0.496551724137931,48544.08219178082,145
Znajomy-Inna znacząca osoba,0.19285714285714287,0.8,32093.74074074074,140
Znajomy-Nieznajomy,0.47115384615384615,0.5288461538461539,42367.32653061225,104
Znajomy-Znajomy,0.3958333333333333,0.5950520833333334,45447.16529605263,3072
