Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.6957161543492478,0.2882603008502289,13628.429847238544,14192.603852200727,217.57665645675505,6116,4255,1763,[ 8474 12512 23022 ... 13196 24257 16015]
60+,0.6651162790697674,0.31937984496124033,14540.727272727272,16846.49481658878,813.3564342013691,645,429,206,"[  5355  18501  30246  28027  37654  46463   6473   4921   5572   4020
  31631  52018   9025  48415  47430   6956  15348  14181   6322   6956
   4838   5905   4554   4004   4304   4003   3703   3937   4004   4354
   3536  10827  16516   8041  12062   9526   5171  13346   7691  38872
  17267   5238  19385   6489   7907   7057  17917   6656  43276  45879
  21287  10076  33199  24357   6122  38621   7791   5221   5021   4537
   3303   5722  70470  18768  10243   6506  16766  12812  19419  20937
   6339   5254  12896  22288  18151   6673   7240   6473  33700  12996
  55555  28645  20069  19002   8475   8692  63980 109959  42108  20270
   8742   5071  11161  32015  20553  14698  13613  24274  17066   8708
   6473   6823  12379   5622   6422  26359   7190   9826  19202  11528
  33800  48281  24707   8875   6056   4688   4154   3319   3236   3469
   3420   3703   3153   3453  14498   7874   9659  39856  19519   6556
   4704  62161  18868  25492  11261   6439  42158  26192   6806  18551
  16149   7140   4988   4788   3987   4604   4220   4838   4254   3853
   7908  40106  18701   7407   9893  12345  18518   9059  36836  18601
   4554   5304   4654   4104   8091  40106   6723   5422   7207   4371
   3720   4137   3753   5338   3937   3403   3253   3286   7407   3603
   3886   3387   3970   3603   3336   3336   3186   3403  15365   5956
   3636   4304  24207  36436  10410   3987   3620  18618   8324   4787
  58157   8624  18668  38555  32799  13813   5388  98465  36269   6473
   4921   5572   4020  17133  33867  27694  10443  27243  15999   7707
   6139   5822  44461   4320  12262   6656   8358   4437   4054   4154
   3603   6956   4838   5905   4554   4004   4304   4003   3703   3937
   4004   4354   3536  10827  16516   8041  11327   6055  38872  17267
  58975  35802  15598  14197 121187  11428   6589  45879  11461   8524
   6556   5639   7841   5305  10310   4904   4320  60543  65498  27176
  14747   5138   4137  53920  20203   7791   5221   5021   4537   3303
  18768  10243   6506  16766   5254   9926  12896  22288  15148  20069
   6506   6690   6740   4421   7007   4637   4654   4253   4054   4170
   8057  13363  67384  42108  20270  12779  21687  66516  53553   6756
   5305   7123   4871   4671   5455   4904   4087   3720   8575  37554
   6039   5171  23873  19035  56389  12379   5622   9909   7290   4137
   3370  16566   6422  22506   6490   6189   5422   5722   7374   8625
   6339  19602   6473   7974   7374   4037   6673   7941   7156  67033
  24707   8274  14631   8875   6056   4688   4154   3319   3236   3469
   3420   3703   3153   3453  95311  11060  46396   8158   6740  15315
  47330  34467  18551  13913  10560   6172  18701   7407  11795  79295
  12545  14497  29829  12345  36836  18601   4554   5304   4654   4104
   8091  38721  40106   5688   4370   4120   4087   3853   3837   8942
  31781   6723   5422   7207   4371   3720   4137   3753   5338   3937
   3403   3253   3286   7407   3603   3886   3387   3970   3603   3336
   3336   3186   3403  15365   5956   3636   4304  24207   5288]"
< 18,0.6499264551376339,0.3329480983399874,16622.801002263175,18129.877203368513,230.51007112196908,9518,6186,3169,[117851  11561  24541 ...  14163  20820   4004]
30-44,0.6671026814911707,0.3102245476346196,18104.837254901962,17813.912354742923,322.0316802213165,4587,3060,1423,[36603 19436 15832 ... 17650 13830 33850]
45-59,0.6900662251655629,0.29602649006622517,18566.648752399233,18487.87434529298,572.7342054257175,1510,1042,447,[69252 15048 10844 ... 20704  5288  3102]
