Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.4879310344827586,0.5058908045977012,31814.263250883392,6960
Członek rodziny-Inna znacząca osoba,0.4217687074829932,0.5782312925170068,27361.048387096773,147
Członek rodziny-Nieznajomy,0.4875,0.5125,29374.94871794872,80
Członek rodziny-Znajomy,0.3719512195121951,0.625,26883.180327868853,328
Inna znacząca osoba-Członek rodziny,0.42857142857142855,0.5714285714285714,25017.51111111111,210
Inna znacząca osoba-Inna znacząca osoba,0.43277777777777776,0.5638888888888889,23303.779204107832,1800
Inna znacząca osoba-Nieznajomy,0.28,0.72,20148.071428571428,50
Inna znacząca osoba-Znajomy,0.45985401459854014,0.5328467153284672,22013.428571428572,137
Nieznajomy-Członek rodziny,0.4539877300613497,0.5460122699386503,30462.72972972973,163
Nieznajomy-Inna znacząca osoba,0.5,0.42857142857142855,24974.285714285714,14
Nieznajomy-Nieznajomy,0.41472868217054265,0.5813953488372093,28036.59813084112,516
Nieznajomy-Znajomy,0.41379310344827586,0.5689655172413793,25321.479166666668,116
Znajomy-Członek rodziny,0.3523573200992556,0.6426799007444168,23494.147887323943,403
Znajomy-Inna znacząca osoba,0.40540540540540543,0.5945945945945946,26767.955555555556,111
Znajomy-Nieznajomy,0.4426229508196721,0.5409836065573771,28260.574074074073,122
Znajomy-Znajomy,0.4205607476635514,0.5712616822429907,25610.102777777778,3424
