Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.4500065867474641,0.5468317744697668,23617.03805620609,18684.223208721818,319.68047797090793,7591,3416,4151,[51984 33533 48448 ... 12896  7473 15598]
60+,0.358220810166799,0.6354249404289118,25792.88470066519,19556.50318072706,920.8797690960256,1259,451,800,"[ 21754  57523  42775  36719  23890  15465  32882  20353  18785  11795
  10109  48164  37337  23239  85168  70020  58775  59625  24941  43559
  74541  28478  32382  21087  50633  31481  19302  39255  32515  23022
  17000  14264  25125  16599  30580  15799  33299  36402  33116  50399
  45478  16866  13313   9375  64497  29746  19903  30780   6222   9226
   7340   9209   7056  21487  47079   7858  52886   5622   8458   3753
  20470  49649  43292  22422  39756  23256  31697  22805  20821  17467
  65865  25358  33433  31731  11778   7056   4571  39205  15815  33800
  24207  14797  23240  12946   9926  52101  13029  21754  29612  44894
  51401  30196   9810  18535  10927  75174  37637  21054  27994  29696
  76292  18218  11811  34350  32032  43076  44194  66199  28127  26826
   7924   4337  49816  37571  19519  39289  30380  51284  32515  32198
  42309  20570  16332  28878  14430  11828   7807  34117  16199   9242
   5054   6273   6189  21788  23022   9309  52302  22355  26476  15165
  36802  63829  13179  10076  13680  14864  11628  19902  15231  51818
  25058  38087  18785  29562  30880  42625  63463  18351  37220  24757
  24023  18101  12078  31080  54187  28111  35702  14314  15631   9492
   7824   5906  61844  31514  36085  55939  44961  22438  40523  12462
  51334  19269  47931  22455  21321  17950  35135  97947  32098  23172
  14147   7874  40023  49465  62061  14030   7958   8574   6473   5488
   4688  38237   5505   5739   6807   4604   4404  10126  21104  13313
  47547  13363  17500  56122   9192   8491   7340   6272   4787  45879
  10393   5438   4437  13813  45728  24240  28077  47147  13763  15498
   7640   9643  18201  30897  51918  65098  48164  39355  26859  39572
  58174  78795  12045  29112  85418  21087  50633  31314  39255  32515
  23022  13880  23739   5705   9292  21671  46780  67950  41224  16866
  13313   9375  30780  28277  13913  59342   6222   9226   7340   9209
   7056  21487  24190  16650  48215   5622   8458   3753  49649  43292
  22422  31697  22805  25358  23023  53019  11778   7056   4571  39205
  15815  33800  24207  14797  28645  30480  23240   9659  14948  13296
  12946   9926  34284  52101  21754  51384  33082  20687  71938  30430
  52402   9009  34367  25792   6673  26876  36937  18218  11811  21404
  26826  21504  13246   7707   7374   4737   7290  30713  28411  27360
   9642   7924   4337  49816  16949  75942  28878  12929  14430  11828
  12812   7807  49815 130680  22388   4871  34117  16199   9242   5054
   6273   6189  36802  91141  11628  46579  41257  28745  57590  25892
  21855  50867  23590  54187  28111  35702  14314  15631   9492   7824
   5906  17684  61828  51334  19452  17950  39055  67500  10143  65298
  13696  39355  97947  32098  23172  14147   7874  48915  13479  83166
  14030   7958   8574   6473   5488   4688  38237   5505   5739   6807
   4604   4404  10126  20253   8424   7407   7540   5722   7907   6373
   3920   4254   2802   2318   2185   2018   4020   2719   2519   2418
   2118   2886   2152   5605   2452   2085   1851   3987   2552  43260
  40423  40240  27810  47547  13363  17500  56122  13813  27594   7274
   3386  24774   8308  47730  45045  23673  15848  43392   8825  22238
  30413]"
30-44,0.46339188558992694,0.530701072594435,29832.61254612546,20415.531199346908,373.92086219951204,6433,2981,3414,[30763 38521 60193 ...  7940 14831 12195]
45-59,0.4406095921111609,0.5531151949798296,30094.28382502543,20090.45714915744,640.7860670976717,2231,983,1234,"[134317  30263  26643  25291  26610  34067  16065  21454  17083  29345
  29162  16332  35135  24941  30930  23106  17083  64364  63145  26075
  27460  31247  21471  12746   8892  48714  30080  23473  32215  38221
  32915  16549  13279  16616  26492  63763  42225  16366   9659  10143
  16115  17517  23206  18918  28028  17350  48581  18418  22939  31865
  28812  45228  70203  36352  13846  44660  22455  95311  14430   7740
  43459  27894  14096   6272  15999  21938  17000  17850   9692  13913
  17467  17084  25708  35285  16449  12879  27243  24524  14797  33299
  37620  16516  17650   9058  32098  34484  32716  42809  22989  11544
  27444  46896  37503  37453  34067  30813  27877  29646  14113  15582
  12462  10176   9109  62812  25074  26392  11795  25458  34551  23806
  31398  46396  60927  45278  25776  30296  58808  48197  23056  45194
  34350  13346  19319  19302  42308  15365  40840  29145  17517  47030
  18952  17167  61260  26509  39922  13696  47213  23189  34784  39639
  25074  26976  22188  44294  13713  20971  13796  28762  26793  12996
  23106   8524  17500   9810  11244   6656   5905  32682  18701  33216
   8491   7857   5738   4704   3837  11644  11161  19152   8141  21754
  15348  31347  54554  43226  22572  15064  16333  40857  54954  31564
  25308  18051 105021  51968  74307  61628  20453  36953  79729  37720
  29879  18952   8958  41541 140223  54621  21938  11577  48298  46212
  40873  52001 142575  19636  37537  53903  34534  25575  41941  25541
  25841  39455  41774  43994  35718  22806  20537  48164   7123  59575
  12612  21621  24874  13463  10727  12979  10643  49299  49366  37120
  17583   9275  41925  26526  42725  28862  50516  17700  14614  41691
  25942  33683  27794  16316  34534  29846  28962  52568  23439  29596
  14481  46996  35451  26126  24141  69269  27560  12745  17934  28044
  16950  26710  16399  22522  20370  23356  34551  45144  32615  37036
  16049  27443  25425  21354  44210  27126  23840  38338  12745  10443
   9876  29746  11978  34901  23873  58658  26559  50333  62128  46429
  29913  51284  28928  20286  46546  20320  42325   9175   5138  74908
  18318  12412  17133  31214  21788  10593  15948  14431  21004   7040
   5071   4120   3586   3320   2886   2502   3670   3570   2652   2118
   3369   2151   2669   2519  19185  59809   9642  15215   7424  13580
  42158  28261  27410  32832  26743   9609  73323  22605  16449  57824
  18751  44444  40774  17049  30029  12929   9926  21204  23389  59142
  52585  30430  12695  24607  21504  26142  26276  25391  54771  63329
  22889  26743  27410  18084  17283 117033  28595  17934  75374  25859
  14981  20603  32698  19619  47930  91141  36786  31047  23156  20637
  13713  43376  26242  11944  56406  46579  41257  28745  19886  16032
  57590  60977  53636  28711  23656  51451  23006  30162  32665  42942
  23807  40056  31731  26092  34601  28995  39439  21921  24908  13029
   8524  39572  26159   8308  28812  21538  31347  21087  31430  14847
  11477  22438  18485  19952  17784  13947  14180   9376   7457  12228
  10143  23156  49432 117367  37353  12762  26893  25525  13696  13079
  39038  28544  48915  41691  23456  13429  12979  18468  30213  16933
  31564  50383  35151  14914  41558   9960   7423  35852  31280  41224
   8424   7407   7540   5722   7907   6373   3920   4254   2802   2318
   2185   2018   4020   2719   2519   2418   2118   2886   2152   5605
   2452   2085   1851   3987   2552  43843  44711  19519  17050  51568
  34917   9492   5621   4871   9626  11894   7007   5121  36536  69986
  48348  14764  24590  27360  36286  25441  32999  12011  77260  73856
  53369  61327  24040  25709  33099  15848  43392   8825  36503  26876
  48598  16266  30413  39222  40790  29896  26793  30263  45879  26259
  65348  42559  66666  27393  35852  80113  19419  37470  14998  13963
  11811  16215  13880   7307  50884  16382  64130   7457   6940   7474
  42775  29162  16332  36719  23890  15465  32882  20353  18785  11795
  10109  51651  53236  64364  45361   6939  21537  63145 108841  48714
  30080  23473  32215  13279  41691  16616 103786 162662  64280  29462
  46245  11461  17317  22272  34150  45244  21821  12679  51301  30397
  41190  52001  48531  43559  33299 129962  36853  18351  25124  16950
   8908   9442  45328  18752  29345  28061  58408  43493  24640  31531
  46813  32082  29229  31998  56172  23806  41424  27944  12178   7173
  25958  17000  25776  13230   9642  38454  35501  54086  47597  27510
  29813  30296  13963  46396  54337   6906  12629   7323  38521  19319
  45061  14430  47030  14914  22388  10043  25325  36936  61260  48564
  63846  30947  30596  33783  26576  47263  19552  10276  11761  32215
  23256  29228  19853  10293  31347  54554  12762  43409  19152  13963
  14197  15799  22572  15064  28528  40857  32999  11878   8191  30229
  74307  61628  50399  45478  74808  55521  21938  11577  86703  48080
  72939  35335  47313  48298   7858  32465  23039  41641  36853  18034
  41941  25541  25841  31564  20821  17467  44227  43760  13062  47246
  43994  66432  35718  22806  20203  21621  24874  27744  44377  46746
  15865  39572  46496  45128  29946  19902  22071   9676  12829   8708
  41925  42725  28862  50516  41691  25942  33683  52302  22389  11511
  29846  28962  23323  52568  23439  54370  13029  29596  21254   8258
   9109  29612  46996  34601   7223   5238  34967  40023  69269  27560
  35017  80830  15782  10343  38638  13697  30113  15031  12645  80179
  21688  25175  11928  22739  24874  65164  44177  22956  16066  22172
  11227   6172   4654   6606  51818  25875  24190  44210  27126  27861
  45027  70153  30647  18451  44877  29746  11978  19953  18768  30146
  82799  65681  32148  34750   9493  21538   8908  65031  34217  24657
  48681  17250  11878  10993  56039  21688  28995  39890  35902  35435
  11912  43259  17751  44578  30330  18134  13580  59160  39106  50651
 100685  68486  13480   9676  10927  28178  30463  22605  19702  22605
  16449  30563  46412  36036  28611  32415  36936  21388  14764  15665
   8625  40356  15198  14364  20537  41274  11494  27560  11277  18284
  10009  13213  12495  24607  29979  16799  26276  71604  21154  54771
  63329  22889  11945  30597  32682  30697  37420  38755  38321  22438
  60176  70369  14864  30463  29228  14630  12095  22288  19902  15231
  48881  18217  19469  20804  29128  24357  13663  60476  22472  23656
  44144  30162  48598  47580  28078  58408  32448  41191  42942  39072
  56339  40056  31731  85484  44961  22438  19585  39589  16482  30763
  39439  39572  11044  47897  19269  28812  55188  90156  22505  12462
  64263  22822  74457  23156  11427  31531  31230  22772  46930  49432
 117367  37353  12762  26893  25525  33983   7073   7841  22839  82399
  41691  23456  13429  12979  18468  34317  47296  28328  67333  65131
  43109  35935  40890  16799  24590  27577   8341  27360  40873  40640
  27527  26643  13413  28077  18134  35702  12645  31631  36503  26876
  75275  39222  74857]"
< 18,0.45904876373626374,0.5330528846153846,31200.9567982046,22111.476686896396,302.38667897835325,11648,5347,6209,[54220 23957 52318 ... 31314 30013 68968]
