Relationship_Name,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
Inna znacząca - Inna znacząca,0.7119645494830132,0.27326440177252587,13101.521784232365,13302.139991740323,428.4330810495511,1354,964,370,"[ 71838   7574   4921  17017   8875   9859  22922  22772  10176  17417
  16283   8691   5855  58942   6223  10009   9392  28928  15515   6105
   5605   7640   4804  12012  69352  20787   8625  15682  12879  36069
   9159  17951   8024  10460  14113   7323   5455  22972  10477  15064
  12162   6272   7573   8408  19903   7607   6306   7574  14697  21204
  10060   6806  48948  17700   8191   6973  12145   6606   7357  24507
   5405   4854   6556   4437   4087   4070   3920   3536  15165   5955
  10843  18134  14681  15381  17267  13213  13646   6823   5121   4421
   6239   5088   4404   3854   4804   4487   4904   5321  10226   5455
   4671   6489   4371   4070  13063   9292  13713  10243   6940  11327
   6089   9492  12929  15298   9759  17700   5772   5571  31731  15965
  10744  10943   6156  13880  17434  51818  23323  14030   6239   6823
   8675   7440  11711   6856   9192  11778   5038  17400  14931   6756
   5421  12328  36886  16716  12045  16166   6606   5605  11561  12328
  19753  18935  10043   6806   4337   6089   9359   4437  14881   9492
   4654   5121   5171   4854   3987  14831  22088  18952  36820  48848
  15315   9225  29229  20603  14631   6706 136019  14481  12628  20903
   8241   9793   5872 108625  16983  12996  12128  14848  10226  13113
   8558  24357  13396  27360   8525  24975   7390   8842   5522  34467
   8124   6389   6389   5939   5171   4554   8074   4471   3486   3720
  50450  18768  13396   7390   4387   5371   8024   5121  15165  19152
  16132  56406  13046  43626  14547   6139   5288   6222   5105  32599
  27744  20287  39539   8625  10660   5939  21671  12362  11127  22822
   6990   7774   6072   9709   7574   4404   7824  59225   9409  13246
   7090   9993  11328  13329   5739  45895  10944   5722  14931   8758
   8107   9009   6022   3970  12012   5071  17550   8558   7457   5972
   6272   5455   4971   9959   4955  23556  24657   7774  12028  13446
   7323  11878   5555   7273  23940  27477   9075   9809  30914   6306
   5188  33700   5755   4237  22806  22305  11745  44094   6973  32882
   8508   5789  11845  15632   5688   6489  21738   7340   8425   5105
   5671   5438  11244  45779  12745   6523   4754   4771   4370   3853
  11161  30980   7624  12445  62162  12111   6339   5021   5305   4804
   4337  14398   8275   6089   3987  11361  13163  31497   9993  15949
  11427   4754  38838   7590  21971  17116  12879  20937   8074   5939
  23256  12045  11027   4471   4737   4521  14948   7691  18285  41875
  18051  55071   5789   5105   4621   4804   4287   4287   4087  10260
   7306   6623   5939   7123   9075   4554   4437   4370   6639   4454
   5455  42575  13329  45729  33850  10944   5171   9659  15115  13546
  13346  44728   6222  26393   8642   7190  16883   7106  19435  17834
   6339   5639  15065  30680  17501  30263   7941   8408  32148   8775
   7507  53303   6039   5171  13630 100066   9893  20337  15081  10460
  51351   9426  23673   6456   5422   4771   4170   6339   4003   7691
   4020   3586   3586   3336   9325  44511   7307   4788  23873   5939
   4737  21321   9742   5972  11127  11878   9909   7290   4137   3370
  14831  13096   4721   4204  37287  11761   5588   5322   8558   4988
   4570  18435  19886  88922  67450  15749  53153  64865  10243   8558
  22556  31180  11661  20954  21204  29595  52452  18968   6356  13129
   6923  13530  13430   5321  18551  12796   8658   7257   5905   4905
   4704   4554  24023   7691   5672   5405   5305   4337   4037   4304
   3836   4070   9943   8491  20970  25308   6923  11711  10294  15665
   5255  23607   7307   6806  11895   4788   6690   4754  52653   6807
   5455   6873   5121   4521   9476  46946   8191   8408  21855   9008
   5054   4420   4854   6089   8975  14898   6406   5088  41508   7574
   4687   3737   5722  10844   8424  59309  46980   9125  18401   9109
  30697  25241  20737  50367  26159  15448  48782  11261  12595   6973
   7941  18284   6423   5238   4120   3853   3470   3319   3520   3269
   3269   5772   3370   3103   3353   3303   3336   3219   3386   7157
   3436   3219   4287   3303   3136   6006   3486  12946  22422   9342
  13746   8825  11694  13813  21070   8274  14631   9392  17751   7307
   5822   8708   6689  12596  16916   7340   6456   5055   5055   5071
  12145  13596  17133  20353  26559   7657  16933  15365   5738  15198
  10143  27077  10143   9459   5388  11728  11678   7824  15548  15765
  27360  20003  11094   4737   5605   4537   4370  10110   7407  34334
   8742  11778   6940  24857   7657   5538  12045  13129   8758  15248
   8291  15932  17367  22572   9709  10477   8491   5588   5154   3753
   3353   3353   3486   3002   8725   3153  14097   2936   3153  18868
  13813   6823   4904   4437  13563  20453   5956   9058   5805 117717
  15232   6990  14380   6540  15398  14564  19402  12962  15598  54671
  41474  17784   8758  21805  16199   5355  13529   6423  17600  10260
  11261   8141   5338  10076   5622   4521   4237  13880   5271   8057
   4154   4287   3820   4587   4254   3803   8241  13696   7507   6122
  25041  15782  14414  14397   8691   4988   4487   4054   4103   4370
   5838   4304   5772   3603  13263  12028   9442  30997  29679   6856
   5622   5038  12412   5538   6439   4704  77594  30263  10176  10677
  11061   6656  13763  15749   6840   5772   5288  14097  12662   8875
  18218  21271  19285  15748   5255  56473   8641  17133   6105   5705
   4588   4821   4370  10794   4921   8358   5905  14648  26543  13463
  12195   6172  18601   4554   5304   4654   4104   8091  16466  53603
  11961  12562   5171   6706   3887   8741   5655   4955   4971   6940
   9426  49883   7090  15398  11594   8274   4454   4437   3953  22138
  13697  11811  29078  17417  15765  23072  17066   7023  20887  11244
  11845  41708   9626  11327  38121  15214   9359  35351  27977  27527
   4721  10643  11744  16967  12195   4737   8758   3553   3970   8141
   7974  24207  45428  18551  15982  18952   8608   6656   7807   4871
   4954   4153   5038   4454   3903  24140  12562   6723   4804   7090
   4170   4737   4404  12679   5255  14447   9792  20987   9692  12813
   4354   7774  38521   9259   7357   5588   5688   5038   4621   4921
   4637  22172  12262  16482   7891   4404   3420  11711   7290  13563
   4937   4487  19535   9943  13747   6773   5238   4070   3887   4771
   8792  10126   5054  10009  15282  26643   7540   5055   4621  12028
   6823   5238   8408  15315  15599   5288   4921   7073   4921  19502
  16699  15982  12045  10226   6656  32715  55322  12278  45595  10727
   6306   5555   3920   3503  11727   8775   4871   5889   4988   5472
   6939  13697   7007   6522  35518  19702  12679   8458   2769  16165
  38454  16666   9008  16216   6239  24407   3653   4037   2969   4053
   2652   2168   2035   2018   2018   1618   1501   2085   3970   1801
   8408  11828   4787  33850]"
To skomplikowane,0.6579391891891891,0.3217905405405405,14028.037227214378,14041.760366039423,503.0982751165596,1184,779,381,"[12512  7290 14714  5355 10076  7156 13646 16800 66632 12929 11945 12445
  7690 46763 52752  8074 28461 51734 30246 24291 25692  8958  6056  6423
  5055 13813  5388 10710 45328 10126 13279  7974  5305  5205  4888  4771
  4437 14581  9159  5788  5388  5355  9042  5338 17684  9242 23623  9826
  6139 55371 23156  6456 17133 48498 31648 24374 13513 20970 16649 10377
  5338  5171 12662 29913 15599 17734 26676 36269  8542  9325 27927 15999
  7707  6139  5822  8608 78662 69436 12412  5572 12795 42342  6806 12862
 12946 71671  4320 12262  6656 67150  8358  4437  4054  4154  3603 17100
 11261 12478  9659  7824 10160 17750 10543 12062 44110 16116 10627  4420
 31581 13163 10510 14380 27276 18868 24691 13480 11161  6422 44360 72555
  8708  4771  5338 11361  8541 13346 16349  7691  8258 24190 10960  9809
  9509 23156 16333  9392  3870 25375  8525  8358  7807  8842  4871  3870
  3920  4888  3820  3419 19419  5805 23423 14363 35718  9242 12212 13930
 10827 12111 17267  7574 58975 35802  8325  4521  7741  4771  4537  4037
  3353 13329  7223 21821 17383  7240 15598 21488 10710  5221  5105  4454
 11244  5238 19419 61527 19385  6489  7907  7057 40123  6523 11244 13630
 16166  5905  4621  3419 68101 17684  8458  8525  5438  5321  9693  6940
  9275  5855  5171  8158  7473 11428  6589  5471  7691 32682  7974 58741
 90540 10327 65665 14147 14063  6122 38621 26810 11411 34267 25859  7707
 16316 27176 15515 17600 10527 14747  5138  4137 53920 20203 14147  7757
 13563 38438 32048 24240 11494  7791  5221  5021  4537  3303 16633  5288
 20937 15248 10861 18768 10243  6506 16766 19419 16416  5789  6857  6423
  3503  6639  5638  9926 61795 10827  6656 16116 15348 13980 45161 21487
 18968 16416 12996 55555 28645 10527  5872 20069  7624  6439  6506  6690
 28344  9409  7257  9375  9676 11494 24974 36419 26726 10393 12128 13513
 52168  6740  4421  7007  4637  4654  4253  4054  4170  8057 10760 13363
 67384  3519  3236  3086 42108 20270  8742  4704  9225 10377 18218  5956
  7290 12779 11544 16433 14247 12412 13146 19035 18251  5672  6940  6055
  6239  6706  5271  5071  4270  4420  6656  5088  5805  5055  4954  3887
  6373 13947  5889 48865 17984 10076  4621 12162  6806 10477  4604  4337
 56823  6756 28545 16116 18935 10793 24274 31147 16516  7691 26776 20520
 39322  8458  7123  4871  4671  5455  4904  4087  3720  8575 37554 55271
 79612 17634  7273 19035 15465  6372  5288 13497 17367  8174  6189 14914
  6789  5522  3804  4337  4237  4704  3937 11528 10844 30547  6422 12312
 26292 36536 16282 11344  4621  4638  3837 18251  7941  5622  5038  7757
  5471  4971  4087  7807  4220 31798 18451 16132 14630  8157 16316 18451
 15348  4738 30897 15849 36419  8708 22506  6490  6189  5422  5722  7374
 12446  4738  4104  3686  3736  3553  3353  3269  8558  3169  3653 14481
  8542 11811 26409 13980  8791 23890 21654  9309  9692  9826  8892 53870
 46946 48281 15264 14414 21354 11394  7607 32198  6372  4821  3770  4187
  6122  4387  4153  3770  4487  4671 18768  6389 14498  7874 20904 15298
  4804 12562 18702  5121 57924 26042 24891 26559 13029  6255 45734 15801
 44477 17550 16900 12479 13713  8274 46396 32582 10143  7040 11461 12128
 11578 16382 72605 26309 13129 62161 19536 30129 18351 11144  9959  7791
  8725  4988  7841  6022  6006  8741  4721  7791  4804  4854  4137  5255
  6206  4938 53920 26509  9392  7974 13012  5238 73440  6172 16616 18118
 27927 32015  8308  7123  5822  4704  4337  4304  4270  4354  4020 18551
 12662 20053  8858 78177  7907  4571  6973  5605  4687  7957  4086 11444
 43309 18118 16533 10243 20403 24007 45511 11795 15048 27327  7791  7908
 12912 22656  7390  8541  6372 13913 14464  6773 10560  6172 13830 11745
  5305  5338 31181 44727  8708 42392 10277 13630 11178  5138 53803 13797
 11711  7240  4638  9893 25358 15632 20737 11828  6606  5154 11661  9342
  7557  5905  7057  4320  4787  4821  4404  4120  4804  4037  3903  3453
  3620  4003  3370  3219 15482  6890  6072 12529  8308  6172 13980 12178
  7590 23523  6940  5121 16265  8658  5989  5054  4053 10210 10310  8291
  5371  4237  4687  4087  3987  4204  3753  4754  4337  3820  3803  4170
  7073  7757  5855  5171  4187  3453  3303  3203  3236  3286  3954  4270
  6272  9025  3153  3369  3102  3303  3236  3169  3153  7841 19519 21504
  9242  5171  3953  6723  5422  7207  4371  3720  4137  3753  5338  3937
  3403  3253  3286  7407  3603  3886  3387  3970  3603  3336  3336  3186
  3403 15365 10493  7523  4488  5455  3887  3987  4754  3737  3169 16566
 16699  5588  8475 10410  3987  3620 19119 18885  5538 12462 18618  8324
  4787 17800  5322 27210 26843 38171 11761  4554  3786 10143 20303 12345
  3069  6272  3837  3837  2869  3887  6139  2402 69485 12745 16182  6389
 47814 17984 58157  8624 18668 26693  5789  8658  9959 17650 16015]"
Znajomy - Znajomy,0.6566589684372595,0.32909930715935337,14439.513481828839,16527.297462063325,400.1403339699618,2598,1706,855,[ 8474 15832  9976 ... 24641 13196 24257]
Nieznajomy - Nieznajomy,0.6007751937984496,0.3875968992248062,15112.94193548387,12461.13619678352,1000.9025453343096,258,155,100,"[16249 32032  6556 50383 14381 40857  8525 26009 24607 31231 21988 28761
  7841  5672  5305  5872  4904  4153 10560 11945 13630 10743 22105 56523
 18952  6940 27243  9943 46696 24391 47130  8108  5338 28395 33883  8124
 16783 27293 12595 20987 22622 12862 11461  8524  6556  5639  7841  5305
 10310  4904  4320  7173  5855  5588  5071  4154  3736  3486  3086  3169
 12529 10960 34684  7807  8658  5254 10393  9609 14264 15148 15381  8909
 26309 17200  8792  4087  6873 11161  8775  7273 17083  7057  6573 21638
  9092  8157  6223  8274  6206  5689 17784 19085 26359 18702 13863 32332
 10510  8591  5321  9859  8458 57173 39639 12262 11695  6289  9726  7107
  6039  4788  4220  9609  9409 24707 12712  5989 12278 11961  9225 20703
 21037 15315 47330 15515 45812 21388 14531 25759 11478 45879 14864 39005
 18301 10927 18701  7407 10694  7507 13129 14497 11761 18518  9059  5688
  4370  4120  4087  3853  3837 11911  9926  8775 71804 12479 11494]"
Członek rodziny - członek rodziny,0.670003451846738,0.31032102174663445,18126.58294693457,18625.58305765255,298.9386791797191,5794,3882,1798,[ 36603  19436 117851 ...  14163  20820   4004]
