Age_Group,Track_Completed,Mistake,Track_Time,count
< 18,0.370885697187313,0.6219329742669061,49436.64945542558,13368
18-29,0.3700805008944544,0.6254472271914132,38262.58429003021,8944
30-44,0.3781257893407426,0.6155594847183632,45371.96092184369,7918
45-59,0.39408438451500655,0.5959112657677251,47971.47792494481,2299
60+,0.32437120555073723,0.6695576756287944,45420.94117647059,1153
