Relationship_Name,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
Inna znacząca - Inna znacząca,0.43277777777777776,0.5638888888888889,23303.779204107832,19890.866672600674,712.6642566669453,1800,779,1015,"[ 50984  18401  19285  34984  39322  21288  36019  39089  46346  15465
  33533  15498  14597  25691  21988  16265  42308  24707   6139  18518
  19585  27844  41074  16599   9592  20086  55438  24307  17467  10426
  59692  21538  23539  27243  32515  12161  29562  19185   5989  22138
   9409   6122   6239   4287  17266  23406  26342  20520  16149  13663
   8174  25592  11628  12862  18034   5721  15298  22338  53035  23973
  74557  38955  14497  40857  28361  19636   9242  17417  45211  24924
  28211  56973  20036  12395  21871  13396   7674  10644   5905  19202
   9843  29045  10927  38905  21221  17700  37987  28645  23106   8408
  13313   5071  34534  11344  16449  14281   7157   6039   6222   5472
   3503  92692  53136  13413  15448  37754  26209  14181  13313   9375
  61878  64497  29746  19903  18251  10326   4804  69519  37470  62895
  39439  48298  21454  12445  38087  34601  34634  33733  12695  28511
  49148 101367  39522  38772  65181  36302  12111  11928  30814  29429
  17934  21221   9559  19402  15315  18568   9475   8191   6022  44344
  23956  31314  26225  13329   5288   4387   5605  47030  24423  10610
  55138  49732  13129  14013  14630  40657  17650  17400   9792  10226
   7273  55622  52285  11177  21838  27644  26359  11144  11844  16249
  17984  17834  41941  25541  25841  34534  18568  12512  24975  10376
   7106   3770   7223   4003   4537   3002   3136   2769   3219   2752
   2819   2919  19586  40523   7173  11911   6623  35752  16382   8174
  10827   8257  28311  34150  16583  12695  48548  81647  28061  29762
  60376  47597  25942  25825  11911  13162  48164   7123   8258   4954
  11227   6589   9909  24023  35768  36169  15265  17417  33433  31731
  46446  33433  11010   6739  28178  29596  28778  27460  17150  18735
  11845 307174  25108  36503   8775  34067  18351  18568  24056  10159
  21004  17350  11778   7056   4571  49081  26292  49649  27510  10643
   5255  12712   5822  24274  37070  61460  17951   7340  28395   8241
 104787  54687  18068  18635  20386  91874  44410  12946   9926  42842
  10643  10043   5889  21922  21738  26092  48748  12962  44060  19903
  18051  15398  42508  16382  28177   9892  19018  35985  16983   6907
   5872   7123   7424   5088   4788  24924  20587  54320  30997  14731
   7974  27644  31898  14230   8591   6072   6256  18117   7957  32449
  30246  34551  28294  16700  50466  13162  22355  51217  19752  41608
  25792   6673  31247  14898  11061   4254  12078  45295  14731   6956
  22255  14264  20803  35535  20837  39889  38988  71971  28127  37437
  25225  37437  18034   9059  19753  80997  39906  25108  10693   4937
  18485  43543  12712  22155  53753  13346  19302   7974  41658  19819
  31931  28161  23540  40573  24240  20837   7924   4337  24058  13146
   9592  43810  10110   8174  21037  22188  23005  18151   8942   5021
  14297  43526  18885  86452  51718  72989  14931  30713  24957  48331
  15665   8625  30329  20570   9592   5538  53620  47647  56906  22238
  56639  27510  21004  47246  39989  23306  55488  17851  69218  43643
  12895   8341  16082   5672  15582  14247  26459  52585  30430  12695
  14798  41608  18818  15198  12812  37336  25775  34801  26943  31914
  17650   9909  24540  12478   4938   7357   4687  56639  26476  28444
  14147   9792  14997   7223   9125  36802  12979  17367   7591  22972
  14981  34350  29446  32048  91141  16466  29529  14831   7240  14481
   9209  22288   9542   6289  24007  54704  46379  28511  25274  30413
  90373  17517   7173  30162  37604  35735  33566  20086  27176  16082
  34967  12345  30380  29646  11661  18001  56439  47614  25308  34484
  77543  18668   9459  22922  32765  26242  15365  48598  36919  23156
  52185  46696  20269  22288  44827   7190   5538  24557  46162  20103
  19819   9509  26776  24324  18968  16599  12328  83600  24924   7757
  11761   6723   4788  13363  14364   9408   4971   4871  24757  44661
  42993  15999   5939  35768  21554  11511  13479  41691  23456  13429
  12979  18468  20720  40023  49465  62061  38554   8475  20887   8808
   5422   3937  37504  31581  11744  26843  19970  17867   9025  14030
   7958   8574   6473   5488   4688  38237   5505   5739   6807   4604
   4404  10126  18935  11961  24390  27444  16199  17817   9959  12461
  15782  16833  12228  26559  10927  46645  24407  25608  56256   8424
   7407   7540   5722   7907   6373   3920   4254   2802   2318   2185
   2018   4020   2719   2519   2418   2118   2886   2152   5605   2452
   2085   1851   3987   2552 113479  34467  11127  10777  37971  43226
  35351  18317  12378  35251  17684  27243   7423  19019  45178  40990
  24474  20987  13346  32965  10343  50183  38371  14347  29445  40240
  27810  21054   9893  42175  16799  17500  13379  28111  30813  24891
  26326  11160  54921  57707  26993  20570   9392  13046  12028  28678
  17667  27760  24858  10643   5538  30179  45362  17884  10276  41641
  36202   5572  25391   8458  30096  47547  19002  15999  11511  10076
  10626   7941   7090  13563   9309   7056   7290   6622  10293   8091
  12128  13346   5789   6206   3803  10193   5522   3303   3069   2435
  17150   2886  61594  22405   6990  13980   7724   9275  23506  34384
   9025  22155  35618  16633  36919  39105   9559   6222  46329  31531
  23239  41424  23390  38871  47931  26793  27710  12445   7807   4871
   6673   7023  54771   9492   5889   6456   6539   4537   4621  26876
  35885  19986   6139  31681  36936  17617  18801  19686  16432   7790
   5471  41674  21054  21254  14347  39222  38054  11711   8608]"
Znajomy - Znajomy,0.4205607476635514,0.5712616822429907,25610.102777777778,20271.62776979102,534.2042969304923,3424,1440,1956,[51984 54220 33533 ... 10510 12896  7473]
To skomplikowane,0.40404040404040403,0.5911749069643807,25991.502631578947,17658.455771215446,640.5395137817438,1881,760,1112,"[ 33232   6606  28428  36086  20737  27110  30263  23189  65348  62395
  22288  17450  16232  29412  17150  27944  57523  50383  15548  42692
  19936  23990  32165  22789  34734  29863  29195  62862  18201  29345
  52702  46863  12879   8157  53236  23106  38037  68067  40407  19035
  63145  13279  19652  26492  29345  63763  42225  28795  23006  22122
  10694  10793   8391  16132  27260  13479  16849  21821  28812  33700
  45945  25341   6039   6439  27243   8691  58625  12679  73489  27760
  56356  16016  40340  42692  41658  31297  23890  24524  25875  54437
  85418  24507  32716  40273  25742  50633   9058 102018  85818  47880
  53352  13446  16866  39188  34117  21437  15265  13746   5755  28044
  23072  36035  40273  31481  19302  15315   7557  15314   6806  21454
  13613   4571   4571   5054   3120  19018  26860  17000  30313  58041
  43710  45028  13230   9642  28728  27043  34751  25125  12846   6056
  28528  17217  24624  28911  16917  12062   7457  30363   6239  20436
  23340  30396  11243  21488  16533  27393  13830  14881  20720   9092
  21588  11327  25041  75308  10610  24224  25274   5705   9292  18435
  33383  48564  63846  30947  30596  33783  27276  19552  10276  33666
  76626  25458  19853  10293  22171  26793  12996  23106   8524  17500
   9810  11244   6656   5905  32682  18701  33216   8491   7857   5738
   4704   3837  11644  11161  19152   8141  21754  15348  12929  26726
  12762  10209   8424   6789  54838  21671  40824  18318  22238  11895
   7557   6673   5672   4954  30580  22188  46780   7107   4904  41891
  62762  15799  38521  45328  16532  38338  29429  32999  11878   8191
  41224  19653  31948  50399  45478  15715  54821  19953  14397  20970
  25608  13913  47313  47797  16015  10193  16516   9342  59559   9175
  21604  47079  61711  13980  34500  17200  11277  12478  14013   7858
  37537  25375  21704  40590   5622   8458   3753  16149  27343  11577
  13629   5355  23573  16766   9342  31697  22805  11944  20821  17467
  14297  52535 134000  77427  28111  17066  12078  44227  43760  13062
  47246   4771  96146  23023  43994  35718  22806  30613  12879  44511
  61644  17233  55138  25141  46746  63880  16632   6506  33149  28361
  45528  28912  15815   9125   6122  22105   9509  23240  64163  26676
  40740  18368  17384  29946  45311  20169  12679  29579   9659  14948
  13296  52568  23439   7457  36636  52101  52235  12745  34917  46612
  15815  21554  21504  32699  15732   7023   4871   4587  46996  34601
   7223   5238  21888  31431  69269  27560  31848  20687  10443   6756
   5822   4571  15064  11160   6957   4921   7841  16532  51484   8775
  25842  25942  21054  10360  34467  14931   8975  22272  45411  45144
  32615  37036  16049  27443  25425  65164  44177  22956  16066  29212
  36953  27243  67667  21771  12762  21004  21537  18918  30013  34901
  23873  15882   9058  15415  18768  30146  50917  17467  28912  20904
  43226  29479  18218  11811  60309  90273  60076  21404  17700  44627
   8224  12445  55588  26826  66733  32115  12629  23390  22005  21704
  21504  13246   7707   7374   4737   7290  30713  44627  15365  37136
  19452  28411  27360  32148  17751  26459  18034  24374  28778   8174
  35435  37571  19519  15632  60210  16449  18818  47447  43826  13079
  25224  16115  13830   6940  39289  23707  30380  30230  40056  25975
   8024  19218   7507  22605  16449  25158  49682  29078  51284  32515
  40774  32198  33616  12929  23373  29729  19386  20920   9776   9559
   8758   8775   6139   7991   4771   4053   3920   3269   4871   2502
   3069   4237   4421   4955   4370   4054   3937   8041   4254   4070
   3503   2752   3954   3353  10293   3353   2752  58458   6172  26660
  11828  22171  55271  52335  66082  17617  44527  16566  25475  14681
  10293  31881  35652   7807  25658  33533  52385  39555   6723   5088
  28798  16799  26276  23873  71604  21154  36386  16199  32515  22355
  26743  27410  18084  17283  27210  74174  63829  13179  10076  53954
  17951  56823  39288  49032  11578  32749  20787  32165  29712  20119
  11628  23156  26443   9209   4771  31814  47046  25925  30781  43543
  22839  36486  10827  53253  37186  47230  36970  18701  78211  39322
  15048   5905  32282  42475  24757  24023  18101  12078  24941  23656
  18835  48598  54187  28111  35702  14314  15631   9492   7824   5906
  61844  31514  36085  55939  19352  27977  71988  53619  34601  15749
  11260  14464  12829  70620  74240  32482  34767  32816  51050  16549
  58475  18634  35585  24741   6723  17316  25158  39589  16482  59525
  18901   8708  26159   8308  31031  11711  19452  19269  25592  17934
  18418  12261   9375  28895   9642   6356  31748   8474  23272  52635
  55722  28244  45895  51768   4237  22672  17934  16099   7340   7674
   5889   7457  14247  63863  39656  24908  19953  41174  42075  13696
  39355  26910  36019  33099  13096   6706   5088   3987  26176  12462
  25041  10426   7907   6690   5255   4137  47296  12228  35852  31280
  17817  23289   9242  21104  13313  65131  43260  40423  31948  19669
  31314  22488   9292   6039   4404  50366  64714  32832  14764  43093
  23957  36202  23089  26343  45879  10393   5438   4437  24590  28695
  12161  23656  28995  13813  22538  27360  33449  40873  13129  28077
  24741  14781  37304   7640  32132  13630  33683  15415  14597  23790
  11962  57690  18785  25158  60910  46029  37904  33616  12195  15598]"
Nieznajomy - Nieznajomy,0.41472868217054265,0.5813953488372093,28036.59813084112,22067.22138893688,1508.4841990014893,516,214,300,"[ 17951  18251   8858  11111  11044   6706  10126   7807   8624  24407
  50517   8057   7090   5855  11161   7206   9643  23640  50884  29379
  18368  26392  29329  56106  31515  10694  58174  22172  17333  64614
  18851   8708   5939  25742  52919  35918  31047  23623  30463  39389
  18869  11294  11878   8542   7724  33867  22922  34484 186619  32699
  35418  18952   8425   5088   3436   3837  32732  83149  38071  44244
  28878  14080  20603  11695  19636  26893  36386  28795  15565  10443
  61260  22121  31347  54554  36569  58725  74307  28277   6222   9226
   7340   9209   7056  21487  27427  21520  15765  34534  25575  23456
  35986  25358  20036  22756  28645  30480  42725  28862  50516  34534
  34284  21754  29612  35335  40924  39038  22272   9759  21488  17350
  14397  36937  21404  28628  66199  40323  37971  19535  29862  11978
   8208  10910  16933  30379   9642 101851  12545  16949  18351  34868
  32265  18518  30647  15365  28878  15198  20136  38071   8942   9275
   9409   7857  24607  29079  12195   9225  25859  32565  31481  46579
  41257  28745  69786  25892  21855  62796  21721  26659  23022   9492
  14947   8875   9942  19335  10360  14597   8241  12262  14163  18368
  11911  86703  40740  23806  47330  56239 121754 116816  42675  67851
  36953  24841  13580  43893  14064  18518   8441  40407  23222  17950
  35218  28812  31430  14847  11477  39338  10143  24624  40807  68518
  25925  21171  46796  34317  47547  28311  40039   7274   3386  24774
  44728  21120  49098   7574]"
Członek rodziny - członek rodziny,0.4879310344827586,0.5058908045977012,31814.263250883392,21430.83395178132,367.75215857701164,6960,3396,3521,[ 30763  38521 134317 ...  31314  30013  68968]
