Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.6656429942418426,0.3122840690978887,36122.53402537486,5210
Członek rodziny-Inna znacząca osoba,0.6024096385542169,0.37349397590361444,31738.56,83
Członek rodziny-Nieznajomy,0.6214285714285714,0.35714285714285715,22125.80459770115,140
Członek rodziny-Znajomy,0.6217948717948718,0.3525641025641026,30650.680412371134,156
Inna znacząca osoba-Członek rodziny,0.7215189873417721,0.25316455696202533,31642.859649122805,79
Inna znacząca osoba-Inna znacząca osoba,0.6346015793251975,0.35534816941852115,26650.191176470587,1393
Inna znacząca osoba-Nieznajomy,0.5686274509803921,0.4117647058823529,25996.068965517243,51
Inna znacząca osoba-Znajomy,0.49246231155778897,0.48743718592964824,15187.255102040815,199
Nieznajomy-Członek rodziny,0.6119402985074627,0.34328358208955223,32174.29268292683,67
Nieznajomy-Inna znacząca osoba,0.6,0.35,31660.333333333332,20
Nieznajomy-Nieznajomy,0.6414141414141414,0.3383838383838384,39104.5905511811,198
Nieznajomy-Znajomy,0.6402877697841727,0.35251798561151076,20781.887640449437,139
Znajomy-Członek rodziny,0.625,0.3416666666666667,36167.41333333333,120
Znajomy-Inna znacząca osoba,0.6290322580645161,0.3387096774193548,28003.128205128207,62
Znajomy-Nieznajomy,0.5,0.4787234042553192,32208.68085106383,94
Znajomy-Znajomy,0.5849546044098574,0.4003458711629918,30701.231337767924,2313
