Age_Group,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
18-29,0.6341589267285862,0.35552115583075333,27694.22158936805,20653.049360536515,340.1320951011774,5814,3687,2067,[14147 31314 19686 ... 20570 22756 29145]
60+,0.5754560530679934,0.38971807628524047,33996.10662824207,31563.615458961587,1694.4236571181737,603,347,235,"[ 21621  10794   6589  19336  34534  43410   8541  17233  10710  10126
   7140  12162  19669 100716  56689  23590  37537  13813 192892  14681
   7323   7340   5989  39172  34768  20220  37186  71888  50884  50016
  15665  29529  40307  84500  56873  53870  29996  51434  17517  39172
  76426  73273  28545  35535  12762  14447  46045   8675   6840  20687
  10527  54303  30414  43476  32982  39405  22238  12428  16950  92859
  27911  32015  31832  39239  15348   8925  40173  18068  41824  15465
 203986  23990  56272  13129  21237  39055  19118 199282 117651  89723
  42542   9175  25742  30480  42742  65532  18485  25625  18701  13513
  22589 172004  34634  35652  38488  14798  13663  92058  21337  13380
  38956  27293  24457  47564  23073  41724  46396  13480  48698  42292
 185618  33433  38288  35518  10193  24207  37437  26576  15932  42626
  89205  65198  74207  69035  18852  28895  35101  57891  76759  33032
  26559  22939  16733  11495  10093  13196   9376  12629  10359   9742
   7490  29329  93710  40040  70036  36086  13163   9025  22872  16916
  12612   9776  33433  13797  10143   9859   7991   9559   7590   8975
  10126   7790   6556  85018  37787  56739  19336  28161  56356  21321
  11444   9476  47397  17984  79712  57590  20086  33933  29295  18117
  40807  49933  40974  35685  17767   9142  76793   9376  10577   6873
  39172  71521  71888  14664  84500  37053  12045  10694  12745  33266
  55922  17467  36786  39172  37988  28545  49800  69786  64147  36936
  32448   8675   6840  20687  43810   5739  14130   5105  43476  32982
  39072  16950  24157  20770  92859  27911  32015   8925  40173  18068
  22371  15465  35184  18835  25125  23006  23990  56272  21671  51685
  16299  62829  58608 168751  23990   8558  59359  32448  24524  11961
   8041   9559  12295   7540  10176   7557   6639  10627   5522   6789
   5088   8359   6556   6139   6840  16032   5689   5989   5438   7774
  30864  31448  35568  14798  20303  26542  13663  36569  21337  13380
  30647  44110  33950  55822  30296  43660  12745  18218  14130  39372
 140790  26393  13396 184884  48698  11277   6106   5338  80063   9792
  62095  60260  89205  22806  28895  53803  57891  76759  41541  24624
  14164  61511  61260  50984  34884  26559  22939  65915  41858  10576
  16733  11495  10093  13196   9376  12629  10359   9742   7490  29329
  19218  42409  40773  51034  23306  12562  27694  20036   8691   6840
   5371  74674  54704  74123  24958  36386  63029]"
30-44,0.6573336205039845,0.3245746284729701,34076.80537352556,27098.736169467928,490.52005928980265,4643,3052,1507,[48948 24524 11344 ... 31397 34750 34667]
< 18,0.6202485380116959,0.3557504873294347,35106.79473580829,28093.52778445129,393.7356416742071,8208,5091,2920,[95528 57040 17150 ... 61728 55054 46112]
45-59,0.6731884057971015,0.3050724637681159,35342.53175457481,24505.83000241001,804.0102019573341,1380,929,421,"[ 69936  26543  95111  33166  62411  14214  16399  10560  11194  11294
  10410   8708  47964  63763  24541  29546  79730  69085  18618  10577
   8041  48598  15181  21788  34217  18368  80813  46879  32515  51417
  78461  72088  14080  50750  19819  15231  53736  13229  28978  66933
  55238  14698  32298  35351  26242  20720  44811  44344  20486  68935
  24224  19402  20587  24257  26693   9359  12595  27577  28261  26259
  15482  19369  33600  49933  40974  37487  21621  42826  12278  25308
  37353  20937  27444  48248  34851  21971  52853  35518  11828  27310
  22105  11261  18435  42509  40824  43810  92191  39322  23523  79946
  69119  34434  19403  18034  30947  22122  47463  21321  10727  18935
  10493  26626  92742  22122  37154  33683  35468  14381  66482  21004
  12078  22555 103036  58575  28361  44244  57740  43409  13163  42242
  68451  67200  34667  30763   7340  24190  43627  11144  50850  56022
  20737  77910  58091  50567  85702  39789  15182  20153  82732  50466
  38187  35568  24340  28895  72021  36019  84400 164847  42675  55555
  51401  36686  38788  28278  99766  46446  25876  83950  38772  42375
  32448  15949   9943   6906   7457   5455   5588   5772   4871   7640
   5238   5872   7007  36419  12679  12546  76993  22489  17584   7841
  43810   5739  14130   5105  97129  58124  58157  64698  31948  16783
  14281  13046  20003  75625  43426  19002  22823  22272  14130  11194
   9810  10677  18401  10243  67133  38605  17801  16566  12979  37053
  11878   8074  25341  31081  31781  24324   9276  27827  27710  33400
  30564  10427  15899   8308   6256   9075  22371  20236  30947  25725
  37187  24674  43209  43493  52618  63196  41908  28712  26159  80980
  26492  12095  29696  32916  48481  25825  49366  68218  40656  81948
  29395  16850  50533  19269  36252  45612  16366  11111 117050  46797
  35535  71587  60327  43026  57691  35168 108841  51651  37170  45328
  32532  22989  12345  45829 128661  34067  31581  39723  68702  28094
  21855  13529  11161   8925  32198  27861  36954  42608  36986  14297
  41458  28461  41808  53570  11928  28461  78928  38371  30630  17183
  15365  15298  10510  26910  61661  17917  30947  19469  25809  22138
  61010  17968  18752  12745  24791  11161  22822  21738  19452  18051
  52302  43226  31081  23857  68551  30880  97063  73256  52252   6106
   5338  46529  67517  28261  41308  25358  47514  64764  80063  32482
  19052  43777  20637  15699  10460  32332  14898  13746  38471  22772
  10693   9542  75875  25125  14798   7557   6873  15265  30313  50784
  17333  53953  43243  17050  14864  10860  77410  30547  28378  33216
  32315  14063  12111  36536  44177  22188   7323  64664 153152  29346
  41641  17367  47814  17751  21037  35752  18968   9058  60660  58558
  29930  18185  43193  25008  17601  86736  51184  19786  41241  29079
  13596  65582  28895  23290  21755  56906  73373  69569  15215   9543
  17750  18401   9192  37037  14164  96712  30997  14414  21104  38321
  34884  40690  23957  41858  56322  13246  74073  62161  41157  64047
 121721 105021 101901  21270  26476  44494  26076  23389  52919  33817
  10577   7123   7557   6856  14931  48181  17517  40840  36737  31331
  48798  64981  36536  16466   9993   8108  29780  38571  30430  27694
  20036   8691   6840   5371  36102  51784  43626  12946  36386  27460
  26359  58958  63029  46696  24607  46112  44761  57040  72022  25508
  23857  26543  60143  44745 103286  41007  41641  28328  34417  41775
  81397  16650  53153  46229   9592  22655  21788  34217  48631  27794
  46879  21905  21688  90557  50750  19819  15231  43043  19402  66366
  45111  44143  15765  19719  13346  16650   8875 125225  76509  60009
  42058  16683  44794  67584  14931  20086  23206  41407  35919  52502
  53870  32465  31832  54487 192892  27310  22105  11261  34167  12095
   6923  53203  16066  13747  21955  75074  74240  26276  75391  18201
  32599  22122  62161  36436  17867  46696  34617  31498  33082  29763
  37154  33683  66482  32499  47313  46112  14447  44244  18034  57740
  46963  24975 103036  32482  42242  14698   8691  48147   8241  15665
  12228  10960   9008  58091  26760  24190  14380  50850  20737  77910
  44794  11544  27910  36636  17667  58091  29779  26793  13129  10210
   9642  32148  17300  72756  41657  48014  18101  37337  22555  24340
  28895  44094  39355  28061  79479  55555  44561  15682  14214  70670
  32298  14331  23056  34384  41074  36686  15532  30263  24691  33833
  75325  20186  10977   8358   8859  39272  39923  43226  15749  76993
  22489  17584   7841  49749  37620  53019  20136  75625  34668  43426
  21671  41491  15165  38605  17801  16566  12979  37053  11878   8074
  22055  30730  17968  64414 107924  65015  59058  25208  42876  49983
  24791  43109  30947  25725  67017  35002  17801  52618  18267   8858
   7924   7674  63196  59409  21237  28712  23390  37771  65431  43309
   8775   6756   7507   7040   6022   6322   6923   7490  12779  33900
  52702  48481  14014  34133  17601  47030  98881  36336  13596  67651
  29479  37904  24040  44944  72038  26993  27544  16549  46313  78194
 117050  46797  22789  34351  70303  39856  26309  40106  20870  25792
  32782  39906  16016  11878   8975  71070  87821  98281  49566  50467
  34634  18718  11645  11445  14697  68785  65064  38154  58558  24524
  21971  14481  36452  38956  30214  85937  59293  30013   9676   7373
   6873  28461  38838  23923  43476  63847  53570  11928  28962  35485
  15298  10510  34517  19686  29863  11761  49115  26910  61661  18985
  45595  12712  11911   9893  22338  99365  19586  15315  40190  14898
  15315  68968  81430  47564  45612  21738  27460  52068  31064  23492
  16332  71671  25408  19052  43543  30864  29829  11862  26126 216899
  67517  85535  19336  14498  12128  44494  38288  23256  50200  15632
  12562  17350  10193   7724  28378  34668  28812   8575  35151  37437
  30230  25492  34968  51518  29162  30430  32665  40473  29546  47714
  57457  43159  16549  27243  35752  96028  16850  60660  58558 105955
  52385  86736  51184  17484   7891  19786  65582  28895  23290  21755
  31982  15265  19168  96712  53303  36286  84167  20270  30997  74640
  28962  35101  21921  14113  12312  40690  18635  10210   8908  11444
   7824  44110  46346  33967  93710  37754  17801  28445  17233  10177
   9142   8308  17884  28745  10126  48181  44444  13396  11111  59892
  22872  16916  19486  13997  36737  31331  27878  20587  10993  48798
  19786  37704  81214  33433  15599  38571  29095  22839  22071  18417
  51784  33750  27460  64430  58958  31948  31481  20203  32948]"
