Relationship_Name,Track_Completed,Mistake,Track_Time,std_time,se_time,count,completed_count,error_count,times
Inna znacząca - Inna znacząca,0.38318777292576417,0.6118995633187773,38390.5,22530.428982770085,850.3562435538785,1832,702,1121,"[ 16082  36486  83683  51818  17367  50366  35902  32715  45178  44277
  47180  14080  11227  23389  25458  43043  51051  42992  23239  38972
  38738  28194  24374  12529  53553  17917  30797  10810  12746   9092
  45879  21871  51951  36936  19669  44561  46179  26359  37620  66816
  32181  47697 158207  29445  24207  21037  39105  37353  65298  29930
  26109  40890  25691  15098  49282  37120  26426  74724  87136 128978
  56423  36719  49482  35084  15882  22155  29996  15648  33950  15999
  38871  47097  57874  61578  45445  70069  26860  41457  28361  36269
  47146  27744  43593  27043  19552  17584  15115  56906  58741  50016
  46195  28962  66149  61727  34884  48097  15498  45394  16232  74340
 174540  42525  26209  54687  37487  26626  41374  36319  28878  99899
  53720  64047  28912  33249  29896  18701  25075  24808  10777  61461
  81063  34984  30830  11294  25625  29929  19786  66149  49499  25925
  90290  80530 100533  41341  38071  42775  73890  33132  24090  62495
  50016  70720  35085  31982  26426  27777  16182  75158  18267  51584
  74223  28478  68968  19152 101167  33049  22472  37387  21521  35135
  31464  96062  86703  44194  72706  41441  28411  34767  36052  24273
  25775  34317  21988  23139  41541  52769  34017  18418  40556  15615
  49666  55622  27978  71504  28745  39622  23990  59075  74023  53169
  48531  47847  36336  12195  29763  40106  44794  38488  56740  22505
  48031  55521  24557  23789  38421  87553  21337  11160  22605  12945
  34901  19936  18985  15548  14364  67901  36536  15515  38955  46446
  42992  44511  58257  53670  60510  44894  18651  10393  22372  20036
  41057  28061  15498  33933  60309  41424  56005  34484  15782  23707
  34668  41524  86903  57257  14514  83116  44527  54053  76209  72022
  28511  28244  39789  51067  28094  33950  47480  12678  35501  39022
  47263  63363  39456  46279  16316  11711  30914  34951  69052  16349
  24808  39822  19986  66283  26159  33733  35752  53953  57573  27877
  23272  27410  21871  25392  38287  11845  36603  66282  57640  35468
  39255  33116  14547  11961  40573  40490  58424  45712  19586  14748
  64281  28194  25809  45044  32415  21121  17650  20937  16599  85868
  38938 120787  39939  37437  30113 118935  32966  24641  22055  16966
  55421  16466  75709  14497  41541  86769  72972  24691  13313  18851
  11645  16349  24674  29979  29646  19252  19719  66949  80930  27744
  29162  55271  92508 134684  73924  45195  45612  22922  22172  71604
  32949  22522  17984  26543  22355   8858  37086  39706  14414  47147
  35018  71604  33466  23373  44410  64797  58675  32966  32098  74674
  32915  31948  32232  67435  33717  17250  18735  57641  60911  76542
  28428  72321  12212  54554  16366  13663  47363  31114  37036  22489
  29579  28311  14831  57457  34117  64564  72072  17100  48665  27527
  53486  27510  63596  41057  49749  32365  39422  41657  47330  60626
  69252  61844  83383  52001  25175  54137  16899  49466  32181  49983
  38354  48247  44961  18001  29479  15098  44511  34334  26342  40056
  29229  18635  69335  36819  46796  47897  17450  33983  22689  20904
  29662  29112  15215  31364  67317  25075  47681  69318  50683  70604
  66900  13446  22539  13263  18218  22805  76142  35351  31214  21538
  51835  29445  22722  38655  49115  80313  62045  33717  41808  17334
  62195  20219  20754  35284  34517  58358  37654  25942  61945  63095
  42442  76208  55254  53253  34868  20520  49616  32131  20653 218585
  26259  92325  30096  27944  21321  16816  18985  36753  34384   9542
   9259  43526  60393  25392  37036  22839  25141  11461  54971  56039
  31130  82165  58508  27444  63363  24007  31831  19035  26492  88171
  12379  15148  52502  16132  24474  15382  13530  10076  19619  16883
  17850  14497  53603  41074  20653  42592  29595  17150  29962  21871
  36786  53136  20036  17367  26476  23790  71237  35334  46513  34534
  37537  28661  45261  43660  29162  12962  12278  10660  25458  29562
  22639  18535  55038  47714  57540  37237  29062  23974  19803   9009
   6222   5572  36519  19419  30780  19836  30497  53419  50933  42625
  26909  42125  20403  29379  22122  25258  51701  32048  27994  31548
  32682  20169  42125  39322  46429  40707  46396  27694  27127  44661
  31013  39689  21471  48164  24157  25709  57473   8358  19536  17133
  13196   9909   8441   8258   7590   7240  40958  30463  40456  22188
  42692  26576  13246  29796  19602  19185  58258  21972  32081  23756
  19619  16849  33766  60844  30764  25458  24157  28912  43176  23656
  41824  39372  14714  10593  20303  62912  50066  43943  29863  66182
  64747  57824  24123  24741  25258  13880  39656  20770  81781  29145
  36269  25508  12395  44661  21454  28511  40657  73189  53937  34383
  24491  45995  21854  23256  20070  18968  11394  32449  93359  44627
  36352 104254  41324  28411  33183  20136  19235  15098  37354  16149
  68785  38521  96696  60293  67166  24540  63846  35051  31781  23640
  17917  32565]"
To skomplikowane,0.3092615259077927,0.6817625458996328,39224.3852242744,25949.910687341428,942.5432002172215,2451,758,1671,"[ 29596  13630  11027  33066  50000  48815  14230  37237  25358  24241
  12596   9726   9542  25008  24774  35235  15298  10877   8174   7991
   6890   7607   6456  41507  81381  91241  17717  70219  28178  15014
  14564  23490  32315  18818  28461  22656  29429  31614  28495  28194
  27477  23823  31898  34167  31163  18134  61777  17067  10477  66632
  38605  47914  32232  56706  34817  17617  89205  33800  20053  14781
  12128  30263  34283  33683  18385  17500  29629  46179  32482  37654
  23806  25625  26626  20303  37987 406054  65364  54154  33216  40540
  33516  19452  55672  57039  36219  57240  16550  60960  53119  30680
  80947  40223  29763  50450  62495  96663  49782  57073  48315  50116
  42008  11694   8241  32098  28645  51200  63964  64430  80463 122639
  24490  64814  68868  37120  34317  34334  57307  45662  25642  82682
  26059  17400  85335  76342  28194  25325  49783  37453  42058  21220
  17233  33150  65281  13996  34033  51601  56723  43260  39272  24440
  17250  19769  40723  51634  51217  32983  38354  17467  30129  23289
  14898  36703  28578  50083  61911 107974  18718  67918 100634  49265
  38171  19435  20052  13579  24273  10793  21971  40807  54838  50500
  76042  53786  30680  40573  55505  24207  20303  17350  46479  35969
  42308  32932  30430  61444  47513  30964  59242  31197  51101  31514
  56556  46562  26760  17584  35618  75725  20387  46062  49149  32749
  71220  21421  75775  16766  26459  17867  28878  24023  37637  26910
  63579  72989  38254  37453  34434  31381  79111  45828  91024  50633
  52585  41991  14564  84601  62829  30563  18901  28978  29112  42175
  22055  22255  53403  15531  56105  36636  62495  27811  80346  28411
   8274  72372 112895  35035  41307  22572  48131  37854  72489  44844
  52518  49232  20186  27143  44627  33816  12779  34267  99982  53419
  55121  36286  39172  38154  76643  47030  26009  15615  52001  20887
  29112  38571  25225  27493  29195  44411  59575  44777  91991  18568
  29512  66282   9509  54571  34534  27243  44627  19535  14330  36903
  24958  51551  77177  52919  37787  18818  30246   9742  50183  37254
  16132  10760   9192  30630  78962  21688  37053  75191  68284  41791
  33383  16716  10727  65865  18468  19886  33566  33016  26859  43326
  65148  41708  69169  31331  13029  58608  34317  36953  49515  62979
  30913  32465  32482  40874  26676  14981  18101  10894  28945  18568
   7257  13780  18084  66633  70019  67050  39939  60093  38705  37771
  12662  13646   9342  93176  27961  53403  13079  27961  20403  11378
   8975  10443   9325   9209  10660   7874   6806   5689   6022   4788
   5021   5472   5472   5705   5488  58324  34951  33683  59509  26693
  19536  55038  58124  33499  18151  35368  27710  38254  16933  32265
  56589  28578  72005  34334  56206  36286  36986  25675  51067  30780
  47447  19719  47063  24090  73423  40706  31848  30313  50884  25274
  75241  38705  15565  10660  11177   9192  90356  51217  26025  15114
  70169  38855  56622  48364  50049  34550  11995  62428  52652  21721
  62645  35118  18334  54237  62278  42876  17116  33383  17117  14097
  11861  10744  41825  42926  14981  18051  27177  66716  64864  74874
  85034  40824  25391  36702  37720  28745  25425  35535  75725  51384
  30880  49148  52202  24591  58291  31814  19736  83082  39789  59292
  29279  44394  34067  34801  39356  67333  22339  24891  47597  23907
  64380  62095  82132  21921  26993  21320  45845  62161 100366  26876
  31514  26109  54054  42375  55121  44994  19452  61244  25391  12229
  74774  54638  11928  11695   9726  10260   9793   9075   7991   7607
   6673  54472  40139  21054  19819  13746   8074  13864  25442  30680
  17617  37737  20386  19135  47681  76909  59375  28294  28361  13279
  12695  63880 115081  93492  64180  86636 107640  94510  39522  86335
  10577  34401  37504  38604  18351  12912  19369  27911  26693  39773
  61227  29930  24024  29279  39005  55488  59492  41891  27144  43926
  36185  33683  44360  46362  41958  22188  15281  57340  53987  36569
  54787  23373  59192  35918  82715  55088  21721  11378  30880  22705
  42742  34284  20904  48231  20787  13146  31564  64747 103937  85702
  44611  42892  50049  30830  20653  18251  32165  34050  62562  38421
  42091 104587  17217  27027  14898  17534  50149  35602  15415  14898
  13413  12562 110326  46846  14514  11828  32599  54053  23573  14898
  36035  28661  38888  59892  75825  33449  34183  54587  54521  25908
  17517  42425  49699  75608  45244  82048  31998  28644  61494  50300
  40890  36002  33199  81247  27410  34067  83650  46562  43426  36402
  60643  45328  75158  42892  39105  58157  31397  50733  94027  36503
  43393  26559  24240  61377  31381  40607  24507  17100  52285  46279
  13296  82716  30847  38655  27961  64114  74707  21504   8842   8758
   6706  60393  71437  26943  14731  25175  66666  47864  58091  31614
  35835  88237  31447  31764  22021  38905  36336  23773  32849  23473
  47747  64264  32081  41674  57190  30079  16616  11744   9559  32198
  18952  63946  41257  51935  42526  38638  73723 120370  41824  35568
  31014  67233  31297  15065  32716  46596  95195 101484  22572  25141
  48731  39422  16182  12679   8641  99465  39188  58191  55739  22906
  51201  19569  35251  24908  22438  66399  51067 111043  27210  31965
  28611  16149  27810  37687  24591  15014  18185  48348]"
Znajomy - Znajomy,0.3570420547558566,0.6356195314705052,43503.21976284585,26723.07657663416,751.3481015745278,3543,1265,2252,[44594 35368 26092 ... 31264 80346 58641]
Nieznajomy - Nieznajomy,0.3364485981308411,0.6612149532710281,43797.86111111111,25351.285761688396,2112.6071468073665,428,144,283,"[ 53786  21287  17450  12779  12929  10510  42792  43443  36970  96263
  31781  26743  27543  31498  30563  61527  56806  46512  23957  41808
  71588  39756  37153  44527  32115  29963  28495  64864  51401  53470
  61761  37220  29429  52085  30897  19419  39572  54470  17934  39155
  76509  30814  36352  50833  34851  45561  54237  83766  50767  97780
  14731  33299  54838  84784 185184  31031  41007  24307  33616  48932
  47647  17600  60576  20403  47013  35969  36169  41140 130629  75374
  18668 102568  63596  43527  56739  49565  35952 105905  49282  43593
  46497  33900  22972  31781  36686  84033  61010  42692  20437  40840
  26810  44561  31214  18451  18518  40290  27260  32548  61594  86786
  19219  33766  64114  92392  35652  51517  61878  73005  18585  12812
  23823  60126  29996  55388  23339  47630  53837  29162  38955  27777
  23556  53453  60126  29529  18134  62361  88154  53836  60476  31698
  39806   8808   7707   5972   5722   6523   4888  45478  26526  47463
  64480  53937  63830  25241]"
Członek rodziny - członek rodziny,0.39618027250494936,0.5979969721672296,48795.994121105236,31269.39417666732,536.1080303049885,8587,3402,5135,[60977 51518 39806 ... 64914 26042 34918]
