Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.622975804915222,0.3553057725281006,46159.26391437309,5249
Członek rodziny-Inna znacząca osoba,0.5656565656565656,0.41414141414141414,45372.42857142857,99
Członek rodziny-Nieznajomy,0.5692307692307692,0.35384615384615387,42639.45945945946,65
Członek rodziny-Znajomy,0.6025641025641025,0.3782051282051282,41451.35106382979,156
Inna znacząca osoba-Członek rodziny,0.67,0.32,44784.50746268657,100
Inna znacząca osoba-Inna znacząca osoba,0.6124684077506318,0.37320977253580456,37520.756533700136,1187
Inna znacząca osoba-Nieznajomy,0.5238095238095238,0.47619047619047616,50359.0,21
Inna znacząca osoba-Znajomy,0.49473684210526314,0.49473684210526314,36762.02127659575,95
Nieznajomy-Członek rodziny,0.5636363636363636,0.39090909090909093,43138.24193548387,110
Nieznajomy-Inna znacząca osoba,0.5909090909090909,0.4090909090909091,41789.92307692308,22
Nieznajomy-Nieznajomy,0.51985559566787,0.45126353790613716,42096.229166666664,277
Nieznajomy-Znajomy,0.5977011494252874,0.3793103448275862,28107.48076923077,87
Znajomy-Członek rodziny,0.6454545454545455,0.33636363636363636,40896.84507042253,110
Znajomy-Inna znacząca osoba,0.6065573770491803,0.3770491803278688,36932.40540540541,61
Znajomy-Nieznajomy,0.4855072463768116,0.4927536231884058,38095.522388059704,138
Znajomy-Znajomy,0.5480072463768116,0.4311594202898551,41686.26280991735,2208
